,alumnus,organisation,place,country
2462,Petter Asp,Stockholm University,Stockholm Municipality,Sweden
2463,Joakim Edsjö,Stockholm University,Stockholm Municipality,Sweden
2464,Gottfrid Adlerz,Stockholm University,Stockholm Municipality,Sweden
2465,Mohamed Abdel-Rehim,Stockholm University,Stockholm Municipality,Sweden
2466,Fritz Carlson,Stockholm University,Stockholm Municipality,Sweden
2467,Karl Johan Warburg,Stockholm University,Stockholm Municipality,Sweden
2468,Ingrid Hammarström,Stockholm University,Stockholm Municipality,Sweden
2469,Karolina Ekholm,Stockholm University,Stockholm Municipality,Sweden
2470,Ejnar Neymark,Stockholm University,Stockholm Municipality,Sweden
2471,Bo Hedberg,Stockholm University,Stockholm Municipality,Sweden
2472,Jeff Werner,Stockholm University,Stockholm Municipality,Sweden
2473,Holger Larsen,Stockholm University,Stockholm Municipality,Sweden
2474,Stig Hadenius,Stockholm University,Stockholm Municipality,Sweden
2475,Torsten Ekedahl,Stockholm University,Stockholm Municipality,Sweden
2476,Carin Holmberg,Stockholm University,Stockholm Municipality,Sweden
2477,Östen Dahl,Stockholm University,Stockholm Municipality,Sweden
2478,Rolf Torstendahl,Stockholm University,Stockholm Municipality,Sweden
2479,Carl Rudolf Florin,Stockholm University,Stockholm Municipality,Sweden
2480,Brūno Kalniņš,Stockholm University,Stockholm Municipality,Sweden
2481,Peter Perlmann,Stockholm University,Stockholm Municipality,Sweden
2482,Per Martin-Löf,Stockholm University,Stockholm Municipality,Sweden
2483,Tor Ragnar Gerholm,Stockholm University,Stockholm Municipality,Sweden
2484,Hilding Faxén,Stockholm University,Stockholm Municipality,Sweden
2485,Gösta Ekspong,Stockholm University,Stockholm Municipality,Sweden
2486,Denny H Vågerö,Stockholm University,Stockholm Municipality,Sweden
2487,Jonas Rafi,Stockholm University,Stockholm Municipality,Sweden
2488,Anna Wåhlin,Stockholm University,Stockholm Municipality,Sweden
2489,Greta Arwidsson,Stockholm University,Stockholm Municipality,Sweden
2490,Sten de Geer,Stockholm University,Stockholm Municipality,Sweden
2491,Svante Janson,Stockholm University,Stockholm Municipality,Sweden
2492,Dag Norberg,Stockholm University,Stockholm Municipality,Sweden
2493,Ulf Grenander,Stockholm University,Stockholm Municipality,Sweden
2494,Olof Olsson,Stockholm University,Stockholm Municipality,Sweden
2495,Carl M. Elwing,Stockholm University,Stockholm Municipality,Sweden
2496,Hilding Eek,Stockholm University,Stockholm Municipality,Sweden
2497,Gustav Ising,Stockholm University,Stockholm Municipality,Sweden
2498,Vilhelm Carlheim-Gyllensköld,Stockholm University,Stockholm Municipality,Sweden
2499,Helge Bäckström,Stockholm University,Stockholm Municipality,Sweden
2500,Hans G. Boman,Stockholm University,Stockholm Municipality,Sweden
2501,Elias Wessén,Stockholm University,Stockholm Municipality,Sweden
2502,Oscar Levertin,Stockholm University,Stockholm Municipality,Sweden
2503,Lennart von Post,Stockholm University,Stockholm Municipality,Sweden
2504,Bert Bolin,Stockholm University,Stockholm Municipality,Sweden
2505,Gerard De Geer,Stockholm University,Stockholm Municipality,Sweden
2506,Johan Wilcke,Stockholm University,Stockholm Municipality,Sweden
2507,Torsten Carleman,Stockholm University,Stockholm Municipality,Sweden
2508,Claes Fransson,Stockholm University,Stockholm Municipality,Sweden
2509,Lennart Eliasson (biolog),Stockholm University,Stockholm Municipality,Sweden
2510,Gunnar Borg,Stockholm University,Stockholm Municipality,Sweden
2511,Erik Ivar Fredholm,Stockholm University,Stockholm Municipality,Sweden
2512,Gunnar Helén,Stockholm University,Stockholm Municipality,Sweden
2513,Eli Heckscher,Stockholm University,Stockholm Municipality,Sweden
2514,Håkan Lans,Stockholm University,Stockholm Municipality,Sweden
2515,Gösta Mittag-Leffler,Stockholm University,Stockholm Municipality,Sweden
2516,Johnny Roosval,Stockholm University,Stockholm Municipality,Sweden
2517,Helge von Koch,Stockholm University,Stockholm Municipality,Sweden
2518,Svante August Arrhenius,Stockholm University,Stockholm Municipality,Sweden
2519,Anders Andrén,Stockholm University,Stockholm Municipality,Sweden
2520,Karna Lidmar-Bergström,Stockholm University,Stockholm Municipality,Sweden
2521,Gertrud Lennander,Stockholm University,Stockholm Municipality,Sweden
2522,Karolina Ekholm,Stockholm University,Stockholm Municipality,Sweden
2523,Lars Hörmander,Stockholm University,Stockholm Municipality,Sweden
2524,Fredrik Adam Smitt,Stockholm University,Stockholm Municipality,Sweden
2525,Peter Perlmann,Stockholm University,Stockholm Municipality,Sweden
2526,Erik Hulthén,Stockholm University,Stockholm Municipality,Sweden
2527,Julián Adem,National Autonomous University of Mexico,Mexico City,Mexico
2528,Dimitris Georgellis,National Autonomous University of Mexico,Mexico City,Mexico
2529,William Apró,University of Birmingham,Birmingham,United Kingdom
2530,William Apró,University of Birmingham,Birmingham,United Kingdom
2531,William Apró,University of Birmingham,Birmingham,United Kingdom
2532,William Apró,University of Birmingham,Birmingham,United Kingdom
2533,Laszlo B. Kish,University of Birmingham,Birmingham,United Kingdom
2534,Laszlo B. Kish,University of Birmingham,Birmingham,United Kingdom
2535,Adam Johansson,University of Michigan,Ann Arbor,United States of America
2536,Kristina Håkansson,University of Michigan,Ann Arbor,United States of America
2537,Jonas Strandberg,University of Michigan,Ann Arbor,United States of America
2538,Oskar Klein,University of Michigan,Ann Arbor,United States of America
2539,Claes Fornell,University of Michigan,Ann Arbor,United States of America
2540,Gustav Nestor,University of Pittsburgh,Pittsburgh,United States of America
2541,Gustav Nestor,University of Pittsburgh,Oakland,United States of America
2542,Claes von Hofsten,University of Minnesota,Saint Paul,United States of America
2543,Claes von Hofsten,University of Minnesota,Minneapolis,United States of America
2544,Claes von Hofsten,University of Minnesota,Falcon Heights,United States of America
2545,Martin Gustavsson,University of Minnesota,Saint Paul,United States of America
2546,Martin Gustavsson,University of Minnesota,Minneapolis,United States of America
2547,Martin Gustavsson,University of Minnesota,Falcon Heights,United States of America
2548,Maike Hamann,University of Minnesota,Saint Paul,United States of America
2549,Maike Hamann,University of Minnesota,Minneapolis,United States of America
2550,Maike Hamann,University of Minnesota,Falcon Heights,United States of America
2551,Ingrid E.M. Edlund-Berry,University of Minnesota,Saint Paul,United States of America
2552,Ingrid E.M. Edlund-Berry,University of Minnesota,Minneapolis,United States of America
2553,Ingrid E.M. Edlund-Berry,University of Minnesota,Falcon Heights,United States of America
2554,Nils Hasselmo,University of Minnesota,Saint Paul,United States of America
2555,Nils Hasselmo,University of Minnesota,Minneapolis,United States of America
2556,Nils Hasselmo,University of Minnesota,Falcon Heights,United States of America
2557,Anna Sundborger,University of Minnesota,Saint Paul,United States of America
2558,Anna Sundborger,University of Minnesota,Minneapolis,United States of America
2559,Anna Sundborger,University of Minnesota,Falcon Heights,United States of America
2560,Jonas Helgertz,University of Minnesota,Saint Paul,United States of America
2561,Jonas Helgertz,University of Minnesota,Minneapolis,United States of America
2562,Jonas Helgertz,University of Minnesota,Falcon Heights,United States of America
2563,Hans Garmo,King's College London,London Borough of Lambeth,United Kingdom
2564,Hans Garmo,King's College London,Southwark,United Kingdom
2565,Aileen King,King's College London,London Borough of Lambeth,United Kingdom
2566,Aileen King,King's College London,Southwark,United Kingdom
2567,David Andersson,King's College London,London Borough of Lambeth,United Kingdom
2568,David Andersson,King's College London,Southwark,United Kingdom
2569,Mikael Ejdebäck,Trinity College Dublin,Dublin,Ireland
2570,Stefan Peterson,Makerere University,Kampala,Uganda
2571,Peter Waiswa,Makerere University,Kampala,Uganda
2572,Muhammad Munir,University of Lancaster,Lancaster,United Kingdom
2573,Muhammad Munir,University of Lancaster,Lancashire,United Kingdom
2574,Susanna Seppälä,"University of California, Santa Barbara",Santa Barbara,United States of America
2575,Ola Hall,University College Dublin,Dublin,Ireland
2576,Edvin Lundgren,University College Dublin,Dublin,Ireland
2577,Maria Bondesson,Indiana University Bloomington,Bloomington,United States of America
2578,Zulfiqar Bhutta,London School of Hygiene & Tropical Medicine,Bloomsbury,United Kingdom
2579,Zulfiqar Bhutta,London School of Hygiene & Tropical Medicine,London Borough of Camden,United Kingdom
2580,Gunnar Carlquist,Lund University Library,Lund Municipality,Sweden
2581,Bahar Baser,Coventry University,Coventry,United Kingdom
2582,Henry Henne,International Christian University,Mitaka,Japan
2583,Gustaf Améen,Nordic Museum,Stockholm Municipality,Sweden
2584,Gösta Berg,Nordic Museum,Stockholm Municipality,Sweden
2585,Axel Romdahl,Nordic Museum,Stockholm Municipality,Sweden
2586,Gösta Berg,Nordic Museum,Stockholm Municipality,Sweden
2587,Per Larsson,Nordic Museum,Stockholm Municipality,Sweden
2588,Sune Ambrosiani,Nordic Museum,Stockholm Municipality,Sweden
2589,Artur Hazelius,Nordic Museum,Stockholm Municipality,Sweden
2590,Johnny Roosval,Nordic Museum,Stockholm Municipality,Sweden
2591,Lennarth Nyström,Umeå University,Umeå Municipality,Sweden
2592,Egil Johansson,Umeå University,Umeå Municipality,Sweden
2593,Stig Eriksson,Umeå University,Umeå Municipality,Sweden
2594,Birgitta Olofsson,Umeå University,Umeå Municipality,Sweden
2595,Lars Lövgren,Umeå University,Umeå Municipality,Sweden
2596,Anton Grafström,Umeå University,Umeå Municipality,Sweden
2597,Gunilla Olivecrona,Umeå University,Umeå Municipality,Sweden
2598,Stefan Gelfgren,Umeå University,Umeå Municipality,Sweden
2599,Widar Henriksson,Umeå University,Umeå Municipality,Sweden
2600,Berit Åström,Umeå University,Umeå Municipality,Sweden
2601,Joakim Kulin,Umeå University,Umeå Municipality,Sweden
2602,Erling Häggström Lundevaller,Umeå University,Umeå Municipality,Sweden
2603,Magnus Blomgren,Umeå University,Umeå Municipality,Sweden
2604,Adam Johansson,Umeå University,Umeå Municipality,Sweden
2605,Peter Sköld,Umeå University,Umeå Municipality,Sweden
2606,Bert Jonsson,Umeå University,Umeå Municipality,Sweden
2607,Lars Nyberg,Umeå University,Umeå Municipality,Sweden
2608,Ingemar Johansson Sevä,Umeå University,Umeå Municipality,Sweden
2609,Louise Eriksson,Umeå University,Umeå Municipality,Sweden
2610,Ingemar Wedman,Umeå University,Umeå Municipality,Sweden
2611,Jan Olsson,Umeå University,Umeå Municipality,Sweden
2612,Richard Bindler,Umeå University,Umeå Municipality,Sweden
2613,Katarina Andersson,Umeå University,Umeå Municipality,Sweden
2614,C Ottander,Umeå University,Umeå Municipality,Sweden
2615,Pär Jonsson,Umeå University,Umeå Municipality,Sweden
2616,Bernt Eric Uhlin,Umeå University,Umeå Municipality,Sweden
2617,Stina Jakobsson,Umeå University,Umeå Municipality,Sweden
2618,Urban Lindgren,Umeå University,Umeå Municipality,Sweden
2619,Rolf Adolfsson,Umeå University,Umeå Municipality,Sweden
2620,Sara Pudas,Umeå University,Umeå Municipality,Sweden
2621,Maria Josefsson,Umeå University,Umeå Municipality,Sweden
2622,Gunilla Lindström,Umeå University,Umeå Municipality,Sweden
2623,Jiguo Yu,Umeå University,Umeå Municipality,Sweden
2624,Karl-Fredrik Norrback,Umeå University,Umeå Municipality,Sweden
2625,Pär Nordin,Umeå University,Umeå Municipality,Sweden
2626,Anders Sjöstedt,Umeå University,Umeå Municipality,Sweden
2627,Anders Eklund,Umeå University,Umeå Municipality,Sweden
2628,Pär K. Ingvarsson,Umeå University,Umeå Municipality,Sweden
2629,Britta Lundgren,Umeå University,Umeå Municipality,Sweden
2630,Fredrik Elgh,Umeå University,Umeå Municipality,Sweden
2631,Lena Berggren,Umeå University,Umeå Municipality,Sweden
2632,Gunnel Gustafsson,Umeå University,Umeå Municipality,Sweden
2633,Jonny Holmstrom,Umeå University,Umeå Municipality,Sweden
2634,Stefan Jansson,Umeå University,Umeå Municipality,Sweden
2635,Anders Westlund,Umeå University,Umeå Municipality,Sweden
2636,Stefan Svallfors,Umeå University,Umeå Municipality,Sweden
2637,Anders Öhman,Umeå University,Umeå Municipality,Sweden
2638,Inge-Bert Täljedal,Umeå University,Umeå Municipality,Sweden
2639,Tor Troéng,Umeå University,Umeå Municipality,Sweden
2640,Peter Sköld,Umeå University,Umeå Municipality,Sweden
2641,Karl-Gustaf Löfgren,Umeå University,Umeå Municipality,Sweden
2642,Göran Sandberg,Umeå University,Umeå Municipality,Sweden
2643,Olle Persson,Umeå University,Umeå Municipality,Sweden
2644,Svante Norrhem,Umeå University,Umeå Municipality,Sweden
2645,Staffan Normark,Umeå University,Umeå Municipality,Sweden
2646,Søren Løvtrup,Umeå University,Umeå Municipality,Sweden
2647,Roland S. Johansson,Umeå University,Umeå Municipality,Sweden
2648,Lennart Hardell,Umeå University,Umeå Municipality,Sweden
2649,Mohammad Fazlhashemi,Umeå University,Umeå Municipality,Sweden
2650,Lars-Erik Edlund,Umeå University,Umeå Municipality,Sweden
2651,Gunnar Öquist,Umeå University,Umeå Municipality,Sweden
2652,Dan Brändström,Umeå University,Umeå Municipality,Sweden
2653,Magnus Blomgren,Umeå University,Umeå Municipality,Sweden
2654,Inger Zachrisson,Umeå University,Umeå Municipality,Sweden
2655,Marianne Rasmuson,Umeå University,Umeå Municipality,Sweden
2656,Lena Kjersén Edman,Umeå University,Umeå Municipality,Sweden
2657,Helena Edlund,Umeå University,Umeå Municipality,Sweden
2658,Elza Dunkels,Umeå University,Umeå Municipality,Sweden
2659,Anders Söderholm,Umeå University,Umeå Municipality,Sweden
2660,Agneta Marell,Umeå University,Umeå Municipality,Sweden
2661,Sverker Sörlin,Umeå University,Umeå Municipality,Sweden
2662,Sören Wibe,Umeå University,Umeå Municipality,Sweden
2663,Heinz Leymann,Umeå University,Umeå Municipality,Sweden
2664,Astrid Gräslund,Umeå University,Umeå Municipality,Sweden
2665,Pernilla Wittung-Stafshede,Umeå University,Umeå Municipality,Sweden
2666,Ana Betancour,Umeå University,Umeå Municipality,Sweden
2667,Hans Adolfsson,Umeå University,Umeå Municipality,Sweden
2668,Sten Henrysson,Umeå University,Umeå Municipality,Sweden
2669,Sara Pudas,Umeå University,Umeå Municipality,Sweden
2670,Kent Zetterberg,Umeå University,Umeå Municipality,Sweden
2671,Hans Adolfsson,Umeå University,Umeå Municipality,Sweden
2672,Claes von Hofsten,Umeå University,Umeå Municipality,Sweden
2673,Kerstin Stråby,Umeå University,Umeå Municipality,Sweden
2674,Hans G. Boman,Umeå University,Umeå Municipality,Sweden
2675,Jannis Kallinikos,Umeå University,Umeå Municipality,Sweden
2676,Krister Wahlbäck,Umeå University,Umeå Municipality,Sweden
2677,Göran Bergson,Umeå University,Umeå Municipality,Sweden
2678,Kjell Asplund,Umeå University,Umeå Municipality,Sweden
2679,Ingrid Mogren,Umeå University,Umeå Municipality,Sweden
2680,Per-Åke Albertsson,Umeå University,Umeå Municipality,Sweden
2681,Keith W Larson,Umeå University,Umeå Municipality,Sweden
2682,Daniel Kallós,Umeå University,Umeå Municipality,Sweden
2683,Gregory Neely,Umeå University,Umeå Municipality,Sweden
2684,Martin Rundkvist,Umeå University,Umeå Municipality,Sweden
2685,Noel D. Broadbent,Umeå University,Umeå Municipality,Sweden
2686,Gunnar Kulldorff,Umeå University,Umeå Municipality,Sweden
2687,Åke Sellström,Umeå University,Umeå Municipality,Sweden
2688,Ragnar Norrby,Umeå University,Umeå Municipality,Sweden
2689,Jan-Erik Edström,Umeå University,Umeå Municipality,Sweden
2690,Arne Lindroth,Umeå University,Umeå Municipality,Sweden
2691,Lars Thelander,Umeå University,Umeå Municipality,Sweden
2692,Peter Schantz,Umeå University,Umeå Municipality,Sweden
2693,Jennie Jackson,Umeå University,Umeå Municipality,Sweden
2694,Sören Wibe,Umeå University,Umeå Municipality,Sweden
2695,Hannele Tuominen,Umeå University,Umeå Municipality,Sweden
2696,Aleksander Radler,Umeå University,Umeå Municipality,Sweden
2697,Lennart Persson,Umeå University,Umeå Municipality,Sweden
2698,Thomas Olivecrona,Umeå University,Umeå Municipality,Sweden
2699,Hans Wallin,Umeå University,Umeå Municipality,Sweden
2700,Inge-Bert Täljedal,Umeå University,Umeå Municipality,Sweden
2701,Heinz Leymann,Umeå University,Umeå Municipality,Sweden
2702,Tõnu Puu,Umeå University,Umeå Municipality,Sweden
2703,Göran Lindblom,Umeå University,Umeå Municipality,Sweden
2704,Bengt Pettersson,Umeå University,Umeå Municipality,Sweden
2705,Gunnar Öquist,Umeå University,Umeå Municipality,Sweden
2706,Dan Brändström,Umeå University,Umeå Municipality,Sweden
2707,Hans G. Boman,Umeå University,Umeå Municipality,Sweden
2708,Lennart Eliasson (biolog),Umeå University,Umeå Municipality,Sweden
2709,Astrid Norberg,Umeå University,Umeå Municipality,Sweden
2710,Mats Lidström,Royal Academy of Music,City of Westminster,United Kingdom
2711,Jose A Alarco,Queensland University of Technology,Queensland,Australia
2712,Amir Talaei-Khoei,University of Technology Sydney,New South Wales,Australia
2713,Rasigan Maharajh,Tshwane University of Technology,Pretoria,South Africa
2714,Kazunori Yamanoi,Nara Women's University,Nara,Japan
2715,Kazunori Yamanoi,Ritsumeikan University,Kyoto,Japan
2716,Ewa K Andersson,Blekinge Institute of Technology,Karlskrona,Sweden
2717,Bo Schenkman,Blekinge Institute of Technology,Karlskrona,Sweden
2718,Gunilla Borglin,Blekinge Institute of Technology,Karlskrona,Sweden
2719,Paul Davidsson,Blekinge Institute of Technology,Karlskrona,Sweden
2720,Peter W. Eklund,Deakin University,Victoria,Australia
2721,Amir Talaei-Khoei,"University of Nevada, Reno",Reno,United States of America
2722,Wendell A. Mordy,"University of Nevada, Reno",Reno,United States of America
2723,Sven Liljeblad,"University of Nevada, Reno",Reno,United States of America
2724,Sven Lövgren,"University of Nevada, Reno",Reno,United States of America
2725,Alexander van der Linden,"University of Nevada, Reno",Reno,United States of America
2726,Tim Canova,University of New Mexico,Albuquerque,United States of America
2727,Paweł Klimek,Northern Illinois University,Illinois,United States of America
2728,Y Luo,University of Manitoba,Manitoba,Canada
2729,Doris Löve,University of Manitoba,Manitoba,Canada
2730,Áskell Löve,University of Manitoba,Manitoba,Canada
2731,Jaan Allpere,Tulane University,New Orleans,United States of America
2732,Sebsebe Demissew,Addis Ababa University,Addis Ababa,Ethiopia
2733,Yngve A. A. Larsson,Addis Ababa University,Addis Ababa,Ethiopia
2734,Yngve A. A. Larsson,Addis Ababa University,Addis Ababa,Ethiopia
2735,Diriba Muleta,Addis Ababa University,Addis Ababa,Ethiopia
2736,Ulla Ehrensvärd,Stockholm Public Library,Stockholm,Sweden
2737,Ulla Ehrensvärd,Stockholm Public Library,Stockholm Municipality,Sweden
2738,Simon Candelaresi,University of Dundee,Dundee City,United Kingdom
2739,Jorge Osorio-Guillén,University of Antioquia,Medellín,Colombia
2740,Anders Björkman,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2741,David Aili,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2742,Arto Heiskanen,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2743,René Wugt Larsen,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2744,Jonas N Pedersen,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2745,Nusa Pristovsek,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2746,Jessica Lindholm,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2747,Marcus Svensson-Frej,Technical University of Denmark,Lyngby-Taarbæk Municipality,Denmark
2748,Lars Vilks,Oslo National Academy of the Arts,Oslo Municipality,Norway
2749,Volodymyr Trotsiuk,"Swiss Federal Institute for Forest, Snow and Landscape Research",canton of Zürich,Switzerland
2750,Cesar Rodriguez,University of Costa Rica,San José,Costa Rica
2751,Anton Grafström,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2752,Therese Johansson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2753,Ulf Bergström,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2754,Tomas Brodin,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2755,Johan A. Stenberg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2756,Pär K. Ingvarsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2757,Malin Elfstrand,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2758,Martin Weih,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2759,Magnus Karlsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2760,Karin Grönvall,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2761,Jörg Brunet,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2762,Igor Drobyshev,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2763,Jonas Hentati-Sundberg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2764,Maria Alexandra Bighiu,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2765,Staffan Roos,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2766,Gunilla Wünsche,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2767,Anders Lindroth,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2768,Gunnar Cerwén,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2769,William R Newson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2770,Faraz Muneer,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2771,Harald Cederlund,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2772,Jens Persson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2773,Minna Pirhonen,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2774,Susanne Eriksson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2775,Frida Lundmark Hedman,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2776,Sigrun Dahlin,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2777,Therese Bengtsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2778,Adnan Niazi,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2779,Camilla Eriksson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2780,Staffan Roos,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2781,Anita J Norman,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2782,Sofia Hanås,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2783,Erland Liljeroth,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2784,Therese Johansson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2785,Emma Holmström,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2786,Johan Månsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2787,Lars Andersson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2788,Klara Fischer,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2789,Christel Nielsen,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2790,Cecilia Sundberg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2791,Malin Elfstrand,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2792,Iris Dahlin,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2793,Geir Rune Rauset,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2794,Thomas Moritz,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2795,Cecilia Sundberg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2796,Britt-Marie Sjöberg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2797,Mårten Lind,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2798,Karin Alvåsen,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2799,Rimvydas Vasaitis,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2800,Eva Forsgren,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2801,Sara Hallin,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2802,Therese Rehn,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2803,Hadrien Gourlé,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2804,Muhammad Ahsan,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2805,Magnus Karlsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2806,Örjan Carlborg,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2807,Hans Ellegren,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2808,Hanna Betts Lindroos,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2809,Therese Bengtsson,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2810,Per Alström,Swedish University of Agricultural Sciences,Uppsala Municipality,Sweden
2811,Stefano Leone,Fraunhofer Institute for Applied Solid State Physics,Freiburg im Breisgau,Germany
2812,Peter W. Eklund,University of Wollongong,New South Wales,Australia
2813,Per Larsson,Kulturen,Lund Municipality,Sweden
2814,Bo Sommarström,Museum of Ethnography,Stockholm Municipality,Sweden
2815,Bengt Danielsson,Museum of Ethnography,Stockholm Municipality,Sweden
2816,Carl Eriksson,Örebro University Hospital,Örebro Municipality,Sweden
2817,Patrick Frings,University of Applied Sciences in Brandenburg,Brandenburg an der Havel,Germany
2818,Erik Angner,George Mason University,Fairfax,United States of America
2819,Christina Öberg,University of Exeter,Exeter,United Kingdom
2820,Johan Herman Lie Vogt,Norwegian Institute of Technology,Trondheim Municipality,Norway
2821,Sven Oscar Kullander,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2822,Karl-Herman Forsslund,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2823,Rolf Santesson,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2824,Fang Fang Kullander,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2825,Per Andersson,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2826,Arne A. Anderberg,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2827,Nils G. Lundqvist,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2828,Sven Oscar Kullander,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2829,Ulf Jondelius,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2830,Hialmar Rendahl,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2831,Stefan Bengtson,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2832,Patrick Frings,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2833,Carl Axel Magnus Lindman,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2834,Gustaf Oskar Andersson Malme,Swedish Museum of Natural History,Stockholm Municipality,Sweden
2835,Darius Balciunas,Temple University,Philadelphia,United States of America
2836,Fernando Tavares,University of Porto,Porto,Portugal
2837,Andreas Kalckert,University of Reading,Reading,United Kingdom
2838,Andreas Kalckert,University of Reading,Wokingham,United Kingdom
2839,Aniko Bartfai,Danderyd Hospital,Danderyd Municipality,Sweden
2840,Ellika Andolf,Danderyd Hospital,Danderyd Municipality,Sweden
2841,Thomas Kahan,Danderyd Hospital,Danderyd Municipality,Sweden
2842,Tobias Nordström,Danderyd Hospital,Danderyd Municipality,Sweden
2843,Elena Pavlova,Danderyd Hospital,Danderyd Municipality,Sweden
2844,Anna-Karin Wikström,Danderyd Hospital,Danderyd Municipality,Sweden
2845,Jörgen Borg,Danderyd Hospital,Danderyd Municipality,Sweden
2846,Ann Charlotte Laska,Danderyd Hospital,Danderyd Municipality,Sweden
2847,Max Gordon,Danderyd Hospital,Danderyd Municipality,Sweden
2848,Chandima Gomes,University of Putra Malaysia,Seri Kembangan,Malaysia
2849,Katarina Ejeskär,Skövde University College,Skövde Municipality,Sweden
2850,Barbara Gawronska,Skövde University College,Skövde Municipality,Sweden
2851,Thomas Andersson,Skövde University College,Skövde Municipality,Sweden
