,alumnus,place,country,university
3297,Jonas Keiding Lindholm,Ringsted,Denmark,Lund University
3298,Gunnar Sjöstedt,Maria Magdalena parish,Sweden,Stockholm University
3299,Michaël Hernmarck,Djursholm,Sweden,Uppsala University
3300,Malin Tillmar,Linköping,Sweden,Linköping University
3301,Towe Lundman,Uppsala,Sweden,Uppsala University
3302,Inga Skottsberg,Helsinki,Finland,Uppsala University
3303,Bror Uno Pehr Jacob Alexander Hummerhjelm,Åby församling,Sweden,Uppsala University
3304,Arthur Falck,Svappavaara,Sweden,Royal Institute of Technology
3305,Christina Sahlberg,Stockholm,Sweden,Stockholm University
3306,Katarina Stensson,Örebro,Sweden,Royal Institute of Technology
3307,Harald Hammarström,Västerås,Sweden,Chalmers University of Technology
3308,Magnus Brännström,Umeå,Sweden,Uppsala University
3309,John Hanson,Stockholm,Sweden,Uppsala University
3310,Lennart Edquist,Umeå stadsförsamling,Sweden,Uppsala University
3311,Nils Andersson,Sundals-Ryrs församling,Sweden,Lund University
3312,Otto August Wester,Karlskoga socken,Sweden,Uppsala University
3313,Kjell-Ove Widman,Björkvik,Sweden,Uppsala University
3314,Henrik Löwenmark,Gothenburg,Sweden,University of Gothenburg
3315,Anna Zakrisson,Stockholm,Sweden,Stockholm University
3316,Lars Wanhammar,Vansbro,Sweden,Linköping University
3317,Anders Tegnell,Uppsala,Sweden,Linköping University
3318,Anders Tegnell,Uppsala,Sweden,Lund University
3319,Barbara Gawronska,Słupsk,Poland,Lund University
3320,Carl Linnaeus,Råshult,Sweden,Lund University
3321,Carl Linnaeus,Råshult,Sweden,Uppsala University
3322,Dag Hammarskjöld,Jönköping Town,Sweden,Stockholm University
3323,Dag Hammarskjöld,Jönköping Town,Sweden,Uppsala University
3324,Sigfrid Edström,Orust Municipality,Sweden,Chalmers University of Technology
3325,Ada Yonath,Jerusalem,Israel,Karolinska Institute
3326,Ingmar Bergman,Uppsala,Sweden,Stockholm University
3327,August Strindberg,Storkyrkoförsamlingen,Sweden,Uppsala University
3328,Elias Magnus Fries,Femsjö församling,Sweden,Lund University
3329,Theodor Magnus Fries,Femsjö församling,Sweden,Uppsala University
3330,Thore Christian Elias Fries,Uppsala Cathedral Assembly,Sweden,Uppsala University
3331,Peter Forsskål,Helsinki,Finland,Uppsala University
3332,Carl Peter Thunberg,Jönköping,Sweden,Uppsala University
3333,Daniel Solander,Piteå landsförs.,Sweden,Uppsala University
3334,Axel Munthe,Oskarshamn Parish,Sweden,Uppsala University
3335,Tomas Tranströmer,Stockholm,Sweden,Stockholm University
3336,Heinrich Gustav Magnus,Berlin,Germany,Stockholm University
3337,Carl XVI Gustaf of Sweden,Haga Palace,Sweden,Uppsala University
3338,Hans Hildebrand,Maria Magdalena parish,Sweden,Uppsala University
3339,Carl David af Wirsén,Vallentuna,Sweden,Uppsala University
3340,Emma Wikén,Åsarna,Sweden,Mid Sweden University
3341,Gustaf VI Adolf of Sweden,Stockholm Palace,Sweden,Uppsala University
3342,Gustaf V of Sweden,Drottningholm Palace,Sweden,Uppsala University
3343,Carl Bildt,Halmstad,Sweden,Stockholm University
3344,Fredrik Reinfeldt,Haninge Municipality,Sweden,Stockholm University
3345,Oscar I of Sweden,Paris,France,Uppsala University
3346,Oscar II of Sweden,Stockholm,Sweden,Uppsala University
3347,Charles XV of Sweden,Stockholm,Sweden,Uppsala University
3348,Charles XII of Sweden,Hovförsamlingen,Sweden,Uppsala University
3349,Charles X Gustav of Sweden,Nyköping,Sweden,Uppsala University
3350,Gustav I of Sweden,Rydboholm Castle,Sweden,Uppsala University
3351,Gustav I of Sweden,Lindholmens,Sweden,Uppsala University
3352,Louis de Geer the Elder,Risinge församling,Sweden,Uppsala University
3353,Arvid Posse,Helsingborg,Sweden,Lund University
3354,Robert Themptander,Stockholm,Sweden,Uppsala University
3355,Carl Johan Thyselius,Österhaninge,Sweden,Uppsala University
3356,Gustaf Åkerhielm,Stockholm,Sweden,Uppsala University
3357,Erik Gustaf Boström,Stockholm,Sweden,Uppsala University
3358,Johan Ramstedt,Storkyrkoförsamlingen,Sweden,Uppsala University
3359,Karl Staaff,Klara Parish,Sweden,Uppsala University
3360,Hjalmar Hammarskjöld,Tuna församling,Sweden,Uppsala University
3361,Carl Swartz,Norrköping,Sweden,Uppsala University
3362,Nils Edén,Piteå,Sweden,Uppsala University
3363,Hjalmar Branting,Klara Parish,Sweden,Uppsala University
3364,Louis De Geer the Younger,Kristianstad,Sweden,Uppsala University
3365,Oscar von Sydow,Kalmar,Sweden,Uppsala University
3366,Ernst Trygger,Skeppsholmen,Sweden,Uppsala University
3367,Rickard Sandler,Torsåker,Sweden,Uppsala University
3368,Tage Erlander,Ransäter,Sweden,Lund University
3369,Olof Palme,Stockholm,Sweden,Stockholm University
3370,Ingvar Carlsson,Borås,Sweden,Lund University
3371,Göran Persson,Vingåker,Sweden,Örebro University
3372,"E Oscar Knorring, von",Leksbergs församling,Sweden,Uppsala University
3373,Mikael Häggström,Gothenburg,Sweden,Uppsala University
3374,Johan Ärnlöv,Ludvika,Sweden,Uppsala University
3375,Erik Hedfeldt,Linköping,Sweden,Stockholm University
3376,Stig Brink,Gothenburg,Sweden,Lund University
3377,Sven Fagerlind,Solna,Sweden,Royal Institute of Technology
3378,Gösta Hultqvist,Eksjö,Sweden,Uppsala University
3379,Erik Stridsberg,Karlskrona,Sweden,Lund University
3380,Augustus A. White,Memphis,United States of America,Karolinska Institute
3381,J G C Pontus Kleman,Karlstad,Sweden,Lund University
3382,Göran Franzén,Helsingborgs Maria parish,Sweden,Royal Institute of Technology
3383,Beatrice Fihn,Gothenburg,Sweden,Stockholm University
3384,Helen Haines,Colac,Australia,Uppsala University
3385,Gösta Pettersson,Varberg,Sweden,Lund University
3386,Seth Söderholm,Eksjö,Sweden,Royal Institute of Technology
3387,Conrad L. Lönnqvist,Sala stad,Sweden,Uppsala University
3388,K Ragnar Oldberg,Vaksala församling,Sweden,Uppsala University
3389,Hannu Koskinen,Keuruu,Finland,Uppsala University
3390,Paul F Mengel,Malmö Sankt Petri församling,Sweden,Lund University
3391,Helge Löfstedt,Linde församling,Sweden,Royal Institute of Technology
3392,Ulf Balldin,Malmö S:t Pauli församling,Sweden,Lund University
3393,Åke Martenius,Gothenburg,Sweden,Uppsala University
3394,Bo Richard Lundgren,Uppsala Cathedral Assembly,Sweden,Stockholm University
3395,Tommy Ivarsson,Engelbrekt,Sweden,Royal Institute of Technology
3396,Tommy Ivarsson,Engelbrekt,Sweden,Stockholm University
3397,Gudrun Persson,Masthuggs församling,Sweden,Uppsala University
3398,Bo Janzon,Solna,Sweden,Royal Institute of Technology
3399,Bo Janzon,Solna,Sweden,University of Gothenburg
3400,Barbro Hegrelius-Jonsson,Gävle,Sweden,Uppsala University
3401,Teresa Lagergård,Sosnowiec,Poland,University of Gothenburg
3402,Staffan Näsström,Dorotea parish,Sweden,Royal Institute of Technology
3403,Sven Brodén,Kungsholms parish,Sweden,Stockholm University
3404,Johan Israel Näslund,Hede,Sweden,Uppsala University
3405,Kristina Edström,Gothenburg,Sweden,Uppsala University
3406,Arne Bækkevold,Djursholm,Sweden,Stockholm University
3407,Ove Lindh,Gävle,Sweden,Stockholm University
3408,Ala Talabani,Kirkuk,Iraq,Uppsala University
3409,Jan Lexell,Luleå,Sweden,Umeå University
3410,Ossian Larsén,Svedala församling,Sweden,Lund University
3411,M. Golam Shahi Alam,Jhenaidah District,Bangladesh,Swedish University of Agricultural Sciences
3412,Pauline Irene Batebe,Uganda,Uganda,Royal Institute of Technology
3413,Karl-Fredrik Norrback,Stockholm,Sweden,Umeå University
3414,Karl Sundberg,Mo församling,Sweden,Royal Institute of Technology
3415,Jakob Andreas Christofer Quensel,Malmö,Sweden,Lund University
3416,Bror Stawe,Slättåkra,Sweden,Chalmers University of Technology
3417,Daniel Kallós,Uppsala,Sweden,Lund University
3418,Ingela Brimberg,Stockholm,Sweden,Stockholm University
3419,Anders Gustaf Örbom,Lit,Sweden,Uppsala University
3420,Yanjaa,Ulaanbaatar,Mongolia,Uppsala University
3421,Dan H. Yaalon,Uherské Hradiště,Czech Republic,Swedish University of Agricultural Sciences
3422,Fredrik Wilhelm Klint,Visby,Sweden,Uppsala University
3423,Tilda Maria Forselius,Gävle,Sweden,Stockholm University
3424,Boel Berner,Helsingborg,Sweden,Lund University
3425,Rodrigo Tavares,Castelo Branco,Portugal,University of Gothenburg
3426,Ingrid af Ström,Stockholm,Sweden,Stockholm University
3427,Eric Söderlind,Skellefteå,Sweden,Uppsala University
3428,Carl Sundberg,Östra Vingåkers socken,Sweden,Uppsala University
3429,Anders Suneson,Kungsholms parish,Sweden,University of Gothenburg
3430,Hjördis Levin,Smedby,Sweden,Umeå University
3431,Tom Hedalen,Lillehammer,Norway,Lund University
3432,Ernst Ternström,Asarum,Sweden,Royal Institute of Technology
3433,Olof Thelott,Uppsala,Sweden,Uppsala University
3434,Göran Eliasson,Helsingborg,Sweden,Royal Institute of Technology
3435,Philip Jacob Thelott,Uppsala,Sweden,Uppsala University
3436,Bernt Lundahl,Norrköping,Sweden,Royal Institute of Technology
3437,Stefan Axberg,Eskilstuna Klosters församling,Sweden,Stockholm University
3438,Margaretha Thomson,Stockholm,Sweden,Stockholm University
3439,Leif Aagaard,Oslo,Norway,Uppsala University
3440,Lars Jonson,Södertälje,Sweden,Stockholm University
3441,Magnus Bergman,Karlshamn,Sweden,Chalmers University of Technology
3442,Sture Andersson,Tidersrums församling,Sweden,Linköping University
3443,Sture Andersson,Tidersrums församling,Sweden,Uppsala University
3444,Carin Bratt,Junsele församling,Sweden,Uppsala University
3445,Ulf Örnkloo,Skellefteå,Sweden,Uppsala University
3446,Olof Bergelin,Skeppsholms församling,Sweden,Royal Institute of Technology
3447,Mats Thulin,Växjö,Sweden,Royal Institute of Technology
3448,Tage Trotte,Härnösand,Sweden,Uppsala University
3449,Claes Christoffer Ekeblad,Elbląg,Poland,Uppsala University
3450,Fredros O Okumu,Kenya,Kenya,Lund University
3451,Elis Ullman,Varberg,Sweden,Uppsala University
3452,Björn Ursing,Kalmar domkyrkoförsamling,Sweden,Lund University
3453,Åsa Zetterberg,Falkenberg,Sweden,Uppsala University
3454,Gunnar Kärrholm,Gothenburg,Sweden,Chalmers University of Technology
3455,Johan Christopher Ruuth I,Näskott parish,Sweden,Uppsala University
3456,Mats Daniels,Ylitornio,Finland,Uppsala University
3457,Anders Hallengren,Stockholm,Sweden,Stockholm University
3458,Johan Christopher Ruuth II,Hede,Sweden,Uppsala University
3459,Anders Gustaf Wide,Sundsvall,Sweden,Uppsala University
3460,Lars Wahlström,Gothenburg,Sweden,Chalmers University of Technology
3461,Sten Henrysson,Linköping,Sweden,Stockholm University
3462,Lars Malmström,Linköping,Sweden,Royal Institute of Technology
3463,Birgit Spångberg,Adolf Fredriks parish,Sweden,Stockholm University
3464,Bernt Eric Uhlin,Tännäs församling,Sweden,Umeå University
3465,Åke Lundqvist,Stockholm,Sweden,Uppsala University
3466,Aksel Daniel Westerlind,Dals-Ed,Sweden,Chalmers University of Technology
3467,Torkel Nordström,Halmstad,Sweden,Lund University
3468,Arvid Uggla,Royal Karlskrona Admiralty parish,Sweden,Royal Institute of Technology
3469,Erik Wickman,Stockholm,Sweden,Stockholm University
3470,Sasja Beslik,Zenica,Bosnia and Herzegovina,Stockholm University
3471,Sigvard Lindqvist,Kalmar,Sweden,Uppsala University
3472,Claes Isoz,Bromma,Sweden,Royal Institute of Technology
3473,Christer Wadelius,Arvika,Sweden,Stockholm University
3474,John Christian Rydqvist,Storkyrkoförsamlingen,Sweden,Stockholm University
3475,Carolina Vendil Pallin,Köpings församling,Sweden,Stockholm University
3476,Tarja Karlsson Häikiö,Oulu,Finland,University of Gothenburg
3477,Carl Svedelius,Mora Parish,Sweden,Uppsala University
3478,Lars-Erik Cederman,Storfors församling,Sweden,Uppsala University
3479,Pär Larson,Kungsängen,Sweden,Stockholm University
3480,Şanver Akın,Sinop,Turkey,Stockholm University
3481,Magdalena Schröder,Stockholm,Sweden,Stockholm University
3482,Bengt G. Olsson,Steneby socken,Sweden,Chalmers University of Technology
3483,Axel Lekander,Borgholms parish,Sweden,Uppsala University
3484,Maria Nilsson,Säffle parish,Sweden,University of Gothenburg
3485,David Hall,Slaka parish,Sweden,Linköping University
3486,Samuel Skunk,Uppsala,Sweden,Uppsala University
3487,Erik Björkdal,Vimmerby Municipality,Sweden,Uppsala University
3488,Birger Schmid,Kalmar,Sweden,Royal Institute of Technology
3489,Martin Hallander,Skurup,Sweden,University of Gothenburg
3490,Thomas William Teasdale,Blackpool,United Kingdom,Lund University
3491,Christian Waldemar Hessle,Hjälmared,Sweden,Uppsala University
3492,Seyed Javad Miri,Tabriz,Iran,University of Gothenburg
3493,Abderrahman Ait Ali,Ait Melloul,Morocco,Royal Institute of Technology
3494,Abderrahman Ait Ali,Ait Melloul,Morocco,Linköping University
3495,Ragnar Jonsson,Stockholm,Sweden,Royal Institute of Technology
3496,Holger Lundbäck,Nederkalix församling,Sweden,Karolinska Institute
3497,Holger Lundbäck,Nederkalix församling,Sweden,Uppsala University
3498,Ebba Sörbom,Sarajevo,Bosnia and Herzegovina,Uppsala University
3499,Azita Emami,Iran,Iran,Karolinska Institute
3500,Gerard Pokruszyński,Warsaw,Poland,Lund University
3501,Gerhard Larsson,Jönköping,Sweden,Lund University
3502,Florian Krampe,Duisburg,Germany,Uppsala University
3503,Christian Fredrik Berling,Lund,Sweden,Lund University
3504,Marwa Dabaieh,Cairo,Egypt,Lund University
3505,Adolf Herman Wrangel,Strömsnäsbruk,Sweden,Uppsala University
3506,Karin Johannesson,Filipstad,Sweden,Uppsala University
3507,Mikael Karlsson,Skinnskatteberg,Sweden,Uppsala University
3508,Bo Melin,Kalmar domkyrkoförsamling,Sweden,Stockholm University
3509,Bo Melin,Kalmar domkyrkoförsamling,Sweden,Uppsala University
3510,Jan Zedenius,Nacka församling,Sweden,Karolinska Institute
3511,Andreas Holmberg,Lund,Sweden,Uppsala University
3512,Anders Pålsson,Röstånga,Sweden,Lund University
3513,Martin Lorentzon,Åsenhöga,Sweden,Chalmers University of Technology
3514,Martin Lorentzon,Åsenhöga,Sweden,Stockholm University
3515,Lars Hansson,Halmstad,Sweden,Lund University
3516,Yngve Hamnerius,Rogberga församling,Sweden,Chalmers University of Technology
3517,Augusta Margareta Muhl,Borås,Sweden,Lund University
3518,Otto Forssell,Gustav Vasa parish,Sweden,Royal Institute of Technology
3519,Edward Malm,Bäve parish,Sweden,Royal Institute of Technology
3520,Ulf Söderberg (arkivarie),Engelbrekt,Sweden,Stockholm University
3521,Magnus Sälgö,Helga Trefaldighet,Sweden,Linköping University
3522,Olov Lundgren,Hedesunda församling,Sweden,Uppsala University
3523,Charlotta Schlyter,Sweden,Sweden,Stockholm University
3524,Hampus Hagman,Gothenburg,Sweden,University of Gothenburg
3525,Camilla Brodin,Borås,Sweden,Karlstad University
3526,Camilla Brodin,Borås,Sweden,Stockholm University
3527,Jessica Stegrud,Bromma city district,Sweden,Karlstad University
3528,Arthur Lundblom,New York City,United States of America,Stockholm University
3529,Roland Artle,Värmland,Sweden,Stockholm University
3530,Carina Hedén,Mora Municipality,Sweden,Lund University
3531,Sara Cerdas,Funchal,Portugal,Umeå University
3532,Sara Cerdas,Funchal,Portugal,Stockholm University
3533,Märta Stenevi,Lund,Sweden,Lund University
3534,Fjodor Kieseritzky,Tartu,Estonia,Uppsala University
3535,Johan Skytte,Storkyrkoförsamlingen,Sweden,Uppsala University
3536,Sven Blom,Norrköpings Hedvig Parish,Sweden,Uppsala University
3537,Markiyan Malsky,Lviv,Ukraine,Stockholm University
3538,Ivar Arpi,Gothenburg,Sweden,Uppsala University
3539,Erik Frykman,Gothenburg,Sweden,Uppsala University
3540,Tommy Andersson,Västerås Lundby församling,Sweden,Karlstad University
3541,Kurt Wigartz,Mariestad,Sweden,Royal Institute of Technology
3542,Gunnar Säve,Turku,Finland,Uppsala University
3543,Hans Öjmyr,Stockholm,Sweden,Stockholm University
3544,Lars Eriksson,Edsbyn,Sweden,Linköping University
3545,Georg Wilhelm Fleetwood,Ås socken,Sweden,Uppsala University
3546,Romina Pourmokhtari,Hallonbergen,Sweden,Uppsala University
3547,Hanna Sjöstrand,Karlskoga,Sweden,Lund University
3548,Eva Karlsson,Finspång,Sweden,Luleå University of Technology
3549,Einar Bergström,Helsingborgs Maria parish,Sweden,Royal Institute of Technology
3550,Åsa Torstensson,,,Mid Sweden University
3551,Anders Björner,,,Stockholm University
3552,Peter Nilson,,,Uppsala University
3553,Anti Avsan,,,Stockholm University
3554,Anton Hilmer Westergård,,,Lund University
3555,Stefan Noreén,,,University of Gothenburg
3556,Björn von der Esch,,,Uppsala University
3557,Bertil Holmlund,,,Umeå University
3558,Nils Brunsson,,,University of Gothenburg
3559,Lennart Olsson,,,Uppsala University
3560,Carl-Henry Alström,,,Karolinska Institute
3561,Carl-Henry Alström,,,Uppsala University
3562,Cecilia Jarlskog,,,Lund University
3563,Daniel Lorenz Salthenius,,,Uppsala University
3564,Rolf Schock,,,Stockholm University
3565,Helena Flam,,,Lund University
3566,Kim Adolfsson,,,Mid Sweden University
3567,Lars Bergström,,,Stockholm University
3568,Jörgen Weibull,,,Royal Institute of Technology
3569,Peter Nobel,,,Uppsala University
3570,Birgitta Bremer,,,Stockholm University
3571,Per Lindström,,,University of Gothenburg
3572,Peter Beyerhaus,,,Uppsala University
3573,Peter Perlmann,,,Stockholm University
3574,Peter Perlmann,,,Lund University
3575,Ingeman Arbnor,,,Lund University
3576,Johnny Munkhammar,,,Uppsala University
3577,Torbjörn Sjöstrand,,,Lund University
3578,Svante Samuel Murbeck,,,Lund University
3579,Eugeniusz Smolar,,,Uppsala University
3580,Alain Gras,,,Stockholm University
3581,Martin Hägglund,,,Stockholm University
3582,Björn Bjerke,,,Lund University
3583,Axel Möller,,,Lund University
3584,Jonas Bergström,,,Stockholm University
3585,Lina Hahne,,,Umeå University
3586,Mia Brunell,,,Stockholm University
3587,Mats Jansson,,,Örebro University
3588,Geir Ellingsrud,,,Stockholm University
3589,Bengt Lindroos,,,Royal Institute of Technology
3590,Guo Kexin,,,Royal Institute of Technology
3591,Mats Foyer,,,Stockholm University
3592,Martin Kylhammar,,,Linköping University
3593,Carl Martin Edsman,,,Lund University
3594,Carl Martin Edsman,,,Uppsala University
3595,Lars Nyberg,,,Stockholm University
3596,Jan Stenberg,,,Stockholm University
3597,Anders Hallberg,,,Lund University
3598,Valeriu Munteanu,,,Lund University
3599,Anders Blixt,,,Lund University
3600,Arne A. Anderberg,,,Stockholm University
3601,Jörgen Lehmann,,,University of Gothenburg
3602,Jan Wäreby,,,Chalmers University of Technology
3603,Östen Dahl,,,University of Gothenburg
3604,Gustav Carlholm,,,Uppsala University
3605,Lars Werdelin,,,Stockholm University
3606,Enoch Thulin,,,Lund University
3607,Einar Johan Hareide,,,University of Gothenburg
3608,Gunilla Ekberg,,,Lund University
3609,Olov Grøtting,,,Karlstad University
3610,Olle Norberg,,,Umeå University
3611,Abbas Anvari,,,Chalmers University of Technology
3612,Adam Cwejman,,,University of Gothenburg
3613,Anders Dahlvig,,,Lund University
3614,Anders Hans Karlsson,,,Swedish University of Agricultural Sciences
3615,Anders Johnsson,,,Lund University
3616,Anders Lindquist,,,Royal Institute of Technology
3617,Anders Martin-Löf,,,Royal Institute of Technology
3618,Anders Rapp,,,Uppsala University
3619,Andreas Rudman,,,Uppsala University
3620,Andrew Johnson,,,Uppsala University
3621,Anna G. Jónasdóttir,,,University of Gothenburg
3622,Annelie Enochson,,,Chalmers University of Technology
3623,Barrie Lambert,,,Stockholm University
3624,Arne Kaijser,,,Linköping University
3625,Arne Kaijser,,,Lund University
3626,Arne Wiig,,,Lund University
3627,Arthur Henry King,,,Lund University
3628,Arve Solstad,,,Lund University
3629,Astrid Norberg,,,Lund University
3630,Axel Darvik,,,Chalmers University of Technology
3631,Axel Hultgren,,,Royal Institute of Technology
3632,Bernt Carlsson,,,Stockholm University
3633,Bernt H. Lund,,,Stockholm University
3634,Bertil Gustafsson,,,Uppsala University
3635,Bertil Fiskesjö,,,Lund University
3636,Björn Vennström,,,Uppsala University
3637,Bo Asplund,,,Lund University
3638,Bo Berndtsson,,,University of Gothenburg
3639,Bo Gabriel Montgomery,,,Stockholm University
3640,Bo Rothstein,,,Lund University
3641,Bo Siegbahn,,,Uppsala University
3642,Bo Sundqvist,,,Uppsala University
3643,Bo Thidé,,,Uppsala University
3644,Susanne Ackum,,,Uppsala University
3645,Mia Adolphson,,,Stockholm University
3646,Anna Ahlström,,,Uppsala University
3647,Birgitta Almgren,,,Uppsala University
3648,Fanny Ambjörnsson,,,Stockholm University
3649,Yvonne Andersson,,,Linköping University
3650,Gudrun Antemar,,,Stockholm University
3651,Christina von Arbin,,,Royal Institute of Technology
3652,Li Bennich-Björkman,,,Uppsala University
3653,Frida Berglund,,,Umeå University
3654,Lina Bertling Tjernberg,,,Royal Institute of Technology
3655,Maria Bjaring,,,Stockholm University
3656,Gunnela Björk,,,Stockholm University
3657,Ingrid Björkman,,,University of Gothenburg
3658,Agneta Bladh,,,Stockholm University
3659,Charlotte Brogren,,,Lund University
3660,Christina Brönnestam,,,Linköping University
3661,Ann-Christin Bylund,,,University of Gothenburg
3662,Ingrid Carlgren,,,University of Gothenburg
3663,Ulla Carlsson,,,University of Gothenburg
3664,Margareta Cederfelt,,,Uppsala University
3665,Helen Dannetun,,,Linköping University
3666,Marie Demker,,,University of Gothenburg
3667,Georgia Destouni,,,Royal Institute of Technology
3668,Marianne Dicander Alexandersson,,,Chalmers University of Technology
3669,Lise Drougge,,,Lund University
3670,Anna Dubois,,,Chalmers University of Technology
3671,Boris Smeds,,,Lund University
3672,Helena Edlund,,,Umeå University
3673,Birgitta Egerbladh,,,Umeå University
3674,Ingrid Eiken,,,Stockholm University
3675,Ingrid Elam,,,University of Gothenburg
3676,Sigrid Engström,,,Stockholm University
3677,Elisabet Falemo,,,Luleå University of Technology
3678,Susanna Falkengren,,,Lund University
3679,Rocío Fernández,,,University of Gothenburg
3680,Lotta Finstorp,,,Örebro University
3681,Gunilla Florby,,,Lund University
3682,Bella Goldmann,,,Stockholm University
3683,Astrid Gräslund,,,Royal Institute of Technology
3684,Kerstin Hallert,,,Uppsala University
3685,Birgit Hansson,,,Uppsala University
3686,Laura Hartman,,,Uppsala University
3687,Emma Henriksson,,,Stockholm University
3688,Anne-Marie Hermansson,,,Chalmers University of Technology
3689,Anne-Marie Hermansson,,,Lund University
3690,Kerstin Hessius,,,Stockholm University
3691,Carin Holmberg,,,University of Gothenburg
3692,Lena Holmquist Olausson,,,Stockholm University
3693,Margareta Hydén,,,Stockholm University
3694,Helena Höij,,,Linköping University
3695,Ingela Josefson,,,University of Gothenburg
3696,Gunilla Jönson,,,Chalmers University of Technology
3697,Ulrika Karlsson,,,Uppsala University
3698,Lena Kjersén Edman,,,Umeå University
3699,Kerstin Koorti,,,Stockholm University
3700,Catharina Lagerstam,,,Royal Institute of Technology
3701,Sofia Larsen,,,Örebro University
3702,Sofia Larsen,,,Stockholm University
3703,Karolina Lassbo,,,Uppsala University
3704,Gertrud Lennander,,,Lund University
3705,Kerstin Lidén,,,Stockholm University
3706,Karna Lidmar-Bergström,,,Lund University
3707,Erika Liebman,,,Lund University
3708,Tove Lifvendahl,,,Uppsala University
3709,Lena Liljeborg,,,Linköping University
3710,Helena Lindahl,,,Umeå University
3711,Ann-Christine Lindeblad,,,Lund University
3712,Ingela Lindh,,,Royal Institute of Technology
3713,Sara Snogerup Linse,,,Lund University
3714,Ann-Kathrine Littke,,,Royal Institute of Technology
3715,Sofie Ljungman,,,University of Gothenburg
3716,Ragnhild Lundén,,,University of Gothenburg
3717,Marianne Lundius,,,Lund University
3718,Edda Manga,,,Uppsala University
3719,Karin Markides,,,Stockholm University
3720,Judith Melin,,,Lund University
3721,Michele Micheletti,,,Stockholm University
3722,Carolina Miskovsky,,,Luleå University of Technology
3723,Brigitte Mral,,,Uppsala University
3724,Elisabeth Nilsson,,,Luleå University of Technology
3725,Anna Nilsson-Ehle,,,Chalmers University of Technology
3726,Hanna Nordenhök,,,University of Gothenburg
3727,Gunilla Nordgren,,,Stockholm University
3728,Linda Nordlund,,,Uppsala University
3729,Nanna Nore,,,Stockholm University
3730,Kerstin Norén,,,University of Gothenburg
3731,Liza-Maria Norlin,,,Mid Sweden University
3732,Görel Kristina Näslund,,,Karolinska Institute
3733,Agneta Odén,,,Royal Institute of Technology
3734,Linda Olofsson,,,Mid Sweden University
3735,Karin Olsson,,,Lund University
3736,Åsa Persson,,,Royal Institute of Technology
3737,Charlotte Petri Gornitzka,,,Stockholm University
3738,Rebecka Prentell,,,Örebro University
3739,Nina Pripp,,,Uppsala University
3740,Christina Ramberg,,,Stockholm University
3741,Charlotte Ramel,,,Uppsala University
3742,Cecilia Renfors,,,Uppsala University
3743,Viveca Ringmar,,,Uppsala University
3744,Madeleine Rohlin,,,Lund University
3745,Irma Rosenberg,,,Stockholm University
3746,Susanne Rosenberg,,,Stockholm University
3747,Christina Rångemark Åkerman,,,University of Gothenburg
3748,Anna Molin,,,University of Gothenburg
3749,Kerstin Sahlin,,,Umeå University
3750,Christofer Ludvig Anjou,,,Uppsala University
3751,Lars Arnell the Elder,,,Uppsala University
3752,Otto von Arnold,,,Stockholm University
3753,Otto von Arnold,,,Lund University
3754,Peter Arnoldsson,,,Örebro University
3755,Karl-Olov Arnstberg,,,Stockholm University
3756,Bertil Aronsson,,,Uppsala University
3757,Erik Arrhén,,,Uppsala University
3758,Erik Ask-Upmark,,,Lund University
3759,Fritz Askeberg,,,Uppsala University
3760,Patrik Aspers,,,Stockholm University
3761,Kjell Asplund,,,Uppsala University
3762,Vilhelm Assarsson,,,Lund University
3763,Peter Augustsson,,,Chalmers University of Technology
3764,Carl-Georg Aurell,,,Royal Institute of Technology
3765,David Baas,,,Stockholm University
3766,Kjell Bachman,,,Swedish University of Agricultural Sciences
3767,Jan Backman,,,Uppsala University
3768,Johan Harder Backman,,,Uppsala University
3769,Hilding Bakke,,,Uppsala University
3770,Laurentius Gunnari Banck,,,Uppsala University
3771,Svante Svantesson Banér,,,Uppsala University
3772,Taha Barwary,,,Stockholm University
3773,Ilija Batljan,,,Stockholm University
3774,Per Bauhn,,,Lund University
3775,Joakim Beck-Friis,,,Lund University
3776,Lars Beckung,,,Mid Sweden University
3777,Fredric Bedoire,,,Stockholm University
3778,Nils Bengtsson,,,Royal Institute of Technology
3779,Carl Bennet,,,University of Gothenburg
3780,Per Benson,,,Royal Institute of Technology
3781,Kurt Bergendal,,,Uppsala University
3782,Per-Olof Berggren,,,Uppsala University
3783,Olle Berggrund,,,Swedish University of Agricultural Sciences
3784,Andreas Bergh,,,Lund University
3785,Anshelm Berglöf,,,Uppsala University
3786,Bo Bergman,,,Lund University
3787,Bosse Bergman,,,Chalmers University of Technology
3788,Carl Otto Bergman,,,Uppsala University
3789,Göran Bergson,,,Uppsala University
3790,Hilding Bergström,,,Royal Institute of Technology
3791,Ingmar Bergström,,,Royal Institute of Technology
3792,Villy Bergström,,,Uppsala University
3793,Gunnar Bergvall,,,Royal Institute of Technology
3794,August Beskow,,,Uppsala University
3795,Magnus Billing,,,Lund University
3796,Nils Gunnar Billinger,,,Uppsala University
3797,Bertil Bjurel,,,Royal Institute of Technology
3798,Martin Bjäringer,,,Stockholm University
3799,Ernst Björck,,,Uppsala University
3800,Immanuel Björkhagen,,,Uppsala University
3801,Anders Björkman,,,Royal Institute of Technology
3802,Carl Björkman,,,Uppsala University
3803,Olle Björkman,,,Uppsala University
3804,Carl Fabian Björling,,,Uppsala University
3805,Karl Björling,,,Lund University
