,alumnus,place,country,university
163,Sven Ludvig Lovén,Maria Magdalena parish,Sweden,Lund University
164,Elias Tillandz,Rogberga socken,Sweden,Uppsala University
165,Carl Piper,Storkyrkoförsamlingen,Sweden,Uppsala University
166,Ann-Sofie Johansson,Ronneby,Sweden,University of Gothenburg
167,Ann-Sofie Johansson,Ronneby,Sweden,Lund University
168,Curt von Stedingk,Swedish Pomerania,Germany,Uppsala University
169,Alfred Gabriel Nathorst,Bergshammars parish,Sweden,Lund University
170,Fredrik Lindström,Örnsköldsvik Municipality,Sweden,Mid Sweden University
171,Gerard De Geer,Stockholm,Sweden,Uppsala University
172,Henrik Sjöberg,Stockholm,Sweden,Lund University
173,Bert Bolin,Nyköping,Sweden,Stockholm University
174,Bert Bolin,Nyköping,Sweden,Uppsala University
175,F. William Engdahl,Minneapolis,United States of America,Stockholm University
176,Mats Odell,Värnamo,Sweden,Stockholm University
177,Sven Grahn,Stockholm,Sweden,Royal Institute of Technology
178,Lennart von Post,Västerås Lundby församling,Sweden,Uppsala University
179,Leif G. W. Persson,Stockholm,Sweden,Stockholm University
180,Rubén Berríos,Aibonito,United States of America,Stockholm University
181,Hans Rosling,Uppsala,Sweden,Uppsala University
182,Lars E. O. Svensson,Örnsköldsvik,Sweden,Royal Institute of Technology
183,Lars E. O. Svensson,Örnsköldsvik,Sweden,Stockholm University
184,Anton Rolandsson Martin,Paide,Estonia,Uppsala University
185,Gert Wingårdh,Skövde,Sweden,Chalmers University of Technology
186,Arvid Wallman,Gothenburg,Sweden,Chalmers University of Technology
187,Johan Afzelius,Larv parish,Sweden,Uppsala University
188,Magnus Huss,"Torps församling, Härnösand diocese",Sweden,Uppsala University
189,Mats Wahl,Malmö,Sweden,Stockholm University
190,Göran Rosenberg,Södertälje,Sweden,Stockholm University
191,Wilhelm Agrell,Uppsala,Sweden,Stockholm University
192,Wilhelm Agrell,Uppsala,Sweden,Lund University
193,Johan Norberg,Stockholm,Sweden,Stockholm University
194,Paul Hedqvist,Stockholm,Sweden,Royal Institute of Technology
195,Olof Swartz,Norrköpings S:t Johannes församling,Sweden,Uppsala University
196,Carl Olof Rosenius,Nysätra församling,Sweden,Uppsala University
197,Sven Lidman,Karlskrona city community,Sweden,Uppsala University
198,Lars Stigzelius,Stigsjö församling,Sweden,Uppsala University
199,Veit Wittrock,Holms,Sweden,Uppsala University
200,Gustaf Retzius,Kungsholms parish,Sweden,Karolinska Institute
201,Gustaf Retzius,Kungsholms parish,Sweden,Lund University
202,Gustaf Retzius,Kungsholms parish,Sweden,Uppsala University
203,Johan Peter Falck,Broddetorps församling,Sweden,Uppsala University
204,Magnus Nyrén,Brunskogs socken,Sweden,Uppsala University
