,alumnusLabel,organisationLabel,placeLabel,countryLabel
675,Göran Liljestrand,Karolinska Institute,Solna Municipality,Sweden
676,Bengt I. Samuelsson,Karolinska Institute,Solna Municipality,Sweden
677,Sune Bergström,Karolinska Institute,Solna Municipality,Sweden
678,Chantelle Murley,Karolinska Institute,Solna Municipality,Sweden
679,Guo-Xin Jiang,Karolinska Institute,Solna Municipality,Sweden
680,Birgitta Nordgren,Karolinska Institute,Solna Municipality,Sweden
681,Malin Bergström,Karolinska Institute,Solna Municipality,Sweden
682,Anna Eva Hallin,Karolinska Institute,Solna Municipality,Sweden
683,Kerstin Prignitz Sluys,Karolinska Institute,Solna Municipality,Sweden
684,Holger Lundbäck,Karolinska Institute,Solna Municipality,Sweden
685,Marie Hasselberg,Karolinska Institute,Solna Municipality,Sweden
686,Martijn L Manson,Karolinska Institute,Solna Municipality,Sweden
687,Cecilia Söderberg-Nauclér,Karolinska Institute,Solna Municipality,Sweden
688,Mikael Rydén,Karolinska Institute,Solna Municipality,Sweden
689,Muhammad Mushtaq,Karolinska Institute,Solna Municipality,Sweden
690,My Björklund,Karolinska Institute,Solna Municipality,Sweden
691,Zhi-Qing David Xu,Karolinska Institute,Solna Municipality,Sweden
692,Diogo Ribeiro,Karolinska Institute,Solna Municipality,Sweden
693,Ingrid M Claesson,Karolinska Institute,Solna Municipality,Sweden
694,Peter Alping,Karolinska Institute,Solna Municipality,Sweden
695,Olof Stephansson,Karolinska Institute,Solna Municipality,Sweden
696,Sofie Ährlund-Richter,Karolinska Institute,Solna Municipality,Sweden
697,Johan Franck,Karolinska Institute,Solna Municipality,Sweden
698,Philip Pärnamets,Karolinska Institute,Solna Municipality,Sweden
699,Suzanne Petersson,Karolinska Institute,Solna Municipality,Sweden
700,Rolf Maximilian Sievert,Karolinska Institute,Solna Municipality,Sweden
701,Bengt I. Samuelsson,Karolinska Institute,Solna Municipality,Sweden
702,Ulf von Euler,Karolinska Institute,Solna Municipality,Sweden
703,Arvid Wretlind,Karolinska Institute,Solna Municipality,Sweden
704,Hugo Theorell,Karolinska Institute,Solna Municipality,Sweden
705,Dorcus Kiwanuka Henriksson,Karolinska Institute,Solna Municipality,Sweden
706,Lars Kjellén,Karolinska Institute,Solna Municipality,Sweden
707,Anders Ekbom,Karolinska Institute,Solna Municipality,Sweden
708,Ellika Andolf,Karolinska Institute,Solna Municipality,Sweden
709,Charlotte Palme Kilander,Karolinska Institute,Solna Municipality,Sweden
710,Ganna Oliynyk,Karolinska Institute,Solna Municipality,Sweden
711,Erik Holmgren,Karolinska Institute,Solna Municipality,Sweden
712,Helge Gad,Karolinska Institute,Solna Municipality,Sweden
713,C. I. Edvard Smith,Karolinska Institute,Solna Municipality,Sweden
714,Anders Sundström,Karolinska Institute,Solna Municipality,Sweden
715,Guobin Su,Karolinska Institute,Solna Municipality,Sweden
716,Margareta Wilhelm,Karolinska Institute,Solna Municipality,Sweden
717,Johan Gäverth,Karolinska Institute,Solna Municipality,Sweden
718,Julius T Kamwesiga,Karolinska Institute,Solna Municipality,Sweden
719,Hjalmar Wadström,Karolinska Institute,Solna Municipality,Sweden
720,Viktoria Johansson,Karolinska Institute,Solna Municipality,Sweden
721,Anna Nordenström,Karolinska Institute,Solna Municipality,Sweden
722,Christopher Sundling,Karolinska Institute,Solna Municipality,Sweden
723,Helene Rundqvist,Karolinska Institute,Solna Municipality,Sweden
724,Maria Westerståhl,Karolinska Institute,Solna Municipality,Sweden
725,Christer Ericsson,Karolinska Institute,Solna Municipality,Sweden
726,Jolanta Mazurek,Karolinska Institute,Solna Municipality,Sweden
727,C Nilsson,Karolinska Institute,Solna Municipality,Sweden
728,Mats Talbäck,Karolinska Institute,Solna Municipality,Sweden
729,Eva-Karin Gidlund,Karolinska Institute,Solna Municipality,Sweden
730,Gabriella B Lundkvist,Karolinska Institute,Solna Municipality,Sweden
731,Tove Bylund-Grenklo,Karolinska Institute,Solna Municipality,Sweden
732,Pernilla Omérov,Karolinska Institute,Solna Municipality,Sweden
733,Ylva Orrevall,Karolinska Institute,Solna Municipality,Sweden
734,Sara L Bengtsson,Karolinska Institute,Solna Municipality,Sweden
735,Fritjof Norrelgen,Karolinska Institute,Solna Municipality,Sweden
736,M Hou,Karolinska Institute,Solna Municipality,Sweden
737,A Linné,Karolinska Institute,Solna Municipality,Sweden
738,Bahman Farahmand,Karolinska Institute,Solna Municipality,Sweden
739,Imran Ali,Karolinska Institute,Solna Municipality,Sweden
740,Oskar Flygare,Karolinska Institute,Solna Municipality,Sweden
741,Amare Worku Kalu,Karolinska Institute,Solna Municipality,Sweden
742,Farshad Falahati,Karolinska Institute,Solna Municipality,Sweden
743,Ulrika Marklund,Karolinska Institute,Solna Municipality,Sweden
744,Tenghao Zheng,Karolinska Institute,Solna Municipality,Sweden
745,Anton Forsberg,Karolinska Institute,Solna Municipality,Sweden
746,Bo Melin,Karolinska Institute,Solna Municipality,Sweden
747,Peter Järver,Karolinska Institute,Solna Municipality,Sweden
748,Susanne Kelfve,Karolinska Institute,Solna Municipality,Sweden
749,Helge Gad,Karolinska Institute,Solna Municipality,Sweden
750,Claes Norring,Karolinska Institute,Solna Municipality,Sweden
751,Anders Gustaf Wide,Karolinska Institute,Solna Municipality,Sweden
752,Lisa B Thorell,Karolinska Institute,Solna Municipality,Sweden
753,Jenny Presto,Karolinska Institute,Solna Municipality,Sweden
754,Lars F. Berglund,Karolinska Institute,Solna Municipality,Sweden
755,Cecilia Stålsby Lundborg,Karolinska Institute,Solna Municipality,Sweden
756,Per Tynelius,Karolinska Institute,Solna Municipality,Sweden
757,J Peter Svensson,Karolinska Institute,Solna Municipality,Sweden
758,Finn Rasmussen,Karolinska Institute,Solna Municipality,Sweden
759,Ralf Kuja-Halkola,Karolinska Institute,Solna Municipality,Sweden
760,Patrik K E Magnusson,Karolinska Institute,Solna Municipality,Sweden
761,Gustaf Retzius,Karolinska Institute,Solna Municipality,Sweden
762,Anders Retzius,Karolinska Institute,Solna Municipality,Sweden
763,Johan Wilhelm Dalman,Karolinska Institute,Solna Municipality,Sweden
764,Ivar Wickman,Karolinska Institute,Solna Municipality,Sweden
765,Bengt I. Samuelsson,Karolinska Institute,Solna Municipality,Sweden
766,Henrik Larsson,Karolinska Institute,Solna Municipality,Sweden
767,Karl-Johan Malmberg,Karolinska Institute,Solna Municipality,Sweden
768,Xin Lu,Karolinska Institute,Solna Municipality,Sweden
769,Johanna T Lanner,Karolinska Institute,Solna Municipality,Sweden
770,Anna Lindam,Karolinska Institute,Solna Municipality,Sweden
771,Ann-Christin von Vogelsang,Karolinska Institute,Solna Municipality,Sweden
772,Stefan Gilg,Karolinska Institute,Solna Municipality,Sweden
773,Paul Lichtenstein,Karolinska Institute,Solna Municipality,Sweden
774,Ganesh Phad,Karolinska Institute,Solna Municipality,Sweden
775,Lars Kjellén,Karolinska Institute,Solna Municipality,Sweden
776,Hareth Nahi,Karolinska Institute,Solna Municipality,Sweden
777,Petter Brodin,Karolinska Institute,Solna Municipality,Sweden
778,Aditya S Ambati,Karolinska Institute,Solna Municipality,Sweden
779,Rizaldy P Scott,Karolinska Institute,Solna Municipality,Sweden
780,Staffan Strömblad,Karolinska Institute,Solna Municipality,Sweden
781,Ashish Pathak,Karolinska Institute,Solna Municipality,Sweden
782,Giola Santoni,Karolinska Institute,Solna Municipality,Sweden
783,Max Gordon,Karolinska Institute,Solna Municipality,Sweden
784,Peter Waiswa,Karolinska Institute,Solna Municipality,Sweden
785,Johanna Tauriainen,Karolinska Institute,Solna Municipality,Sweden
786,Tanja Tomson,Karolinska Institute,Solna Municipality,Sweden
787,Nelson Ndegwa,Karolinska Institute,Solna Municipality,Sweden
788,John Pernow,Karolinska Institute,Solna Municipality,Sweden
789,Izaura Lima Bomfim,Karolinska Institute,Solna Municipality,Sweden
790,Juan Du,Karolinska Institute,Solna Municipality,Sweden
791,Helga Westerlind,Karolinska Institute,Solna Municipality,Sweden
792,Ewa Andersson,Karolinska Institute,Solna Municipality,Sweden
793,Kirsti Skavberg Roaldsen,Karolinska Institute,Solna Municipality,Sweden
794,Bjorn Andersson,Karolinska Institute,Solna Municipality,Sweden
795,Lennart Carlsson,Karolinska Institute,Solna Municipality,Sweden
796,Leonard Girnita,Karolinska Institute,Solna Municipality,Sweden
797,Qing Cheng,Karolinska Institute,Solna Municipality,Sweden
798,Essam Refai,Karolinska Institute,Solna Municipality,Sweden
799,Jonas Fuxe,Karolinska Institute,Solna Municipality,Sweden
800,Fredrik Klevebro,Karolinska Institute,Solna Municipality,Sweden
801,Per Ljungman,Karolinska Institute,Solna Municipality,Sweden
802,Sandra C. Soares,Karolinska Institute,Solna Municipality,Sweden
803,Gunnar Norstedt,Karolinska Institute,Solna Municipality,Sweden
804,Thomas Kahan,Karolinska Institute,Solna Municipality,Sweden
805,Peter Lindgren,Karolinska Institute,Solna Municipality,Sweden
806,Anna Pettersson,Karolinska Institute,Solna Municipality,Sweden
807,Erik Widman,Karolinska Institute,Solna Municipality,Sweden
808,Helena Karlström,Karolinska Institute,Solna Municipality,Sweden
809,Soheil Damangir,Karolinska Institute,Solna Municipality,Sweden
810,Mats Samuelsson,Karolinska Institute,Solna Municipality,Sweden
811,Karin Kallander,Karolinska Institute,Solna Municipality,Sweden
812,Hans Forssberg,Karolinska Institute,Solna Municipality,Sweden
813,Ayesha De Costa,Karolinska Institute,Solna Municipality,Sweden
814,Ruiqing Ni,Karolinska Institute,Solna Municipality,Sweden
815,Hans-Olov Adami,Karolinska Institute,Solna Municipality,Sweden
816,Hjalmar August Abelin,Karolinska Institute,Solna Municipality,Sweden
817,Björn Vennström,Karolinska Institute,Solna Municipality,Sweden
818,Gopalakrishnan Dhanabalan,Karolinska Institute,Solna Municipality,Sweden
819,Maria Westerståhl,Karolinska Institute,Solna Municipality,Sweden
820,Gabriella B Lundkvist,Karolinska Institute,Solna Municipality,Sweden
821,Tove Bylund-Grenklo,Karolinska Institute,Solna Municipality,Sweden
822,Natalija Gerasimčik,Karolinska Institute,Solna Municipality,Sweden
823,Johanna T Lanner,Karolinska Institute,Solna Municipality,Sweden
824,Helena Karlström,Karolinska Institute,Solna Municipality,Sweden
825,Aniko Bartfai,Karolinska Institute,Solna Municipality,Sweden
826,Andrej Weintraub,Karolinska Institute,Solna Municipality,Sweden
827,Camilla Sjögren Björkegren,Karolinska Institute,Solna Municipality,Sweden
828,Kariem Ezzat,Karolinska Institute,Solna Municipality,Sweden
829,Tommy Nyberg,Karolinska Institute,Solna Municipality,Sweden
830,Peter Mellroth,Karolinska Institute,Solna Municipality,Sweden
831,Ann-Sofie Jemth,Karolinska Institute,Solna Municipality,Sweden
832,Sven-Olof Berlin,Karolinska Institute,Solna Municipality,Sweden
833,Rasmus W. Green,Karolinska Institute,Solna Municipality,Sweden
834,Erland Axelsson,Karolinska Institute,Solna Municipality,Sweden
835,Martin Neovius,Karolinska Institute,Solna Municipality,Sweden
836,Ellinor Östensson,Karolinska Institute,Solna Municipality,Sweden
837,Marie Klingberg-Allvin,Karolinska Institute,Solna Municipality,Sweden
838,Eric Peter Thelin,Karolinska Institute,Solna Municipality,Sweden
839,Lisa Blom,Karolinska Institute,Solna Municipality,Sweden
840,Lena M Hansson,Karolinska Institute,Solna Municipality,Sweden
841,Emma Hovén,Karolinska Institute,Solna Municipality,Sweden
842,Jan Adolfsson,Karolinska Institute,Solna Municipality,Sweden
843,Tobias Nordström,Karolinska Institute,Solna Municipality,Sweden
844,Staffan Rosenborg,Karolinska Institute,Solna Municipality,Sweden
845,Andrej Weintraub,Karolinska Institute,Solna Municipality,Sweden
846,Patrik Fazio,Karolinska Institute,Solna Municipality,Sweden
847,Elena Pavlova,Karolinska Institute,Solna Municipality,Sweden
848,Max Bell,Karolinska Institute,Solna Municipality,Sweden
849,Sophie Erhardt,Karolinska Institute,Solna Municipality,Sweden
850,Malin Jonsson Fagerlund,Karolinska Institute,Solna Municipality,Sweden
851,Lars Naver,Karolinska Institute,Solna Municipality,Sweden
852,Anna Nilsson,Karolinska Institute,Solna Municipality,Sweden
853,Qiaolin Deng,Karolinska Institute,Solna Municipality,Sweden
854,Cecilia Stålsby Lundborg,Karolinska Institute,Solna Municipality,Sweden
855,Oleg Shupliakov,Karolinska Institute,Solna Municipality,Sweden
856,Marie Nilsson,Karolinska Institute,Solna Municipality,Sweden
857,Stefan Spulber,Karolinska Institute,Solna Municipality,Sweden
858,Niklas Ivarsson,Karolinska Institute,Solna Municipality,Sweden
859,Cormac McGrath,Karolinska Institute,Solna Municipality,Sweden
860,Isabelle Magalhaes,Karolinska Institute,Solna Municipality,Sweden
861,Katarina Lyberg,Karolinska Institute,Solna Municipality,Sweden
862,Abdul Rashid Qureshi,Karolinska Institute,Solna Municipality,Sweden
863,Anders Näsman,Karolinska Institute,Solna Municipality,Sweden
864,Marika Berglund,Karolinska Institute,Solna Municipality,Sweden
865,Shahram Bahmanyar,Karolinska Institute,Solna Municipality,Sweden
866,Siavash Maghsoudlou,Karolinska Institute,Solna Municipality,Sweden
867,Sandra Tamm,Karolinska Institute,Solna Municipality,Sweden
868,Ewa C Ellis,Karolinska Institute,Solna Municipality,Sweden
869,Per Wändell,Karolinska Institute,Solna Municipality,Sweden
870,Marianne Schultzberg,Karolinska Institute,Solna Municipality,Sweden
871,Åke Sjöholm,Karolinska Institute,Solna Municipality,Sweden
872,Anders Lundström,Karolinska Institute,Solna Municipality,Sweden
873,Håkan Rydin (farmakolog),Karolinska Institute,Solna Municipality,Sweden
874,Ulf Rosenhall,Karolinska Institute,Solna Municipality,Sweden
875,John Reenstierna,Karolinska Institute,Solna Municipality,Sweden
876,Wilhelm Netzel,Karolinska Institute,Solna Municipality,Sweden
877,Karolina Widerström,Karolinska Institute,Solna Municipality,Sweden
878,Salomon Eberhard Henschen,Karolinska Institute,Solna Municipality,Sweden
879,Mats J. Olsson,Karolinska Institute,Solna Municipality,Sweden
880,Susanna C. Larsson,Karolinska Institute,Solna Municipality,Sweden
881,Sven-Olof Berlin,Karolinska Institute,Solna Municipality,Sweden
882,Sten Lagergren,Karolinska Institute,Solna Municipality,Sweden
883,Per Gustavsson,Karolinska Institute,Solna Municipality,Sweden
884,Italo Masiello,Karolinska Institute,Solna Municipality,Sweden
885,Ninib Baryawno,Karolinska Institute,Solna Municipality,Sweden
886,Rebecka Hultgren,Karolinska Institute,Solna Municipality,Sweden
887,Walter Osika,Karolinska Institute,Solna Municipality,Sweden
888,Mattias Carlsten,Karolinska Institute,Solna Municipality,Sweden
889,Jan Albert,Karolinska Institute,Solna Municipality,Sweden
890,Marie Wahren-Herlenius,Karolinska Institute,Solna Municipality,Sweden
891,Ralf Kuja-Halkola,Karolinska Institute,Solna Municipality,Sweden
892,Karin Loré,Karolinska Institute,Solna Municipality,Sweden
893,Anne-Marie Boström,Karolinska Institute,Solna Municipality,Sweden
894,Chengxuan Qiu,Karolinska Institute,Solna Municipality,Sweden
895,Peter Stenvinkel,Karolinska Institute,Solna Municipality,Sweden
896,Andrii Dinets,Karolinska Institute,Solna Municipality,Sweden
897,Tomas Hemmingsson,Karolinska Institute,Solna Municipality,Sweden
898,Daniel Falkstedt,Karolinska Institute,Solna Municipality,Sweden
899,Gunnar Tydén,Karolinska Institute,Solna Municipality,Sweden
900,Susanna C. Larsson,Karolinska Institute,Solna Municipality,Sweden
901,Makiko Kumagai-Braesch,Karolinska Institute,Solna Municipality,Sweden
902,Jan Stjernswärd,Karolinska Institute,Solna Municipality,Sweden
903,Yihai Cao,Karolinska Institute,Solna Municipality,Sweden
904,Hanna L. Karlsson,Karolinska Institute,Solna Municipality,Sweden
905,William Forssell,Karolinska Institute,Solna Municipality,Sweden
906,Kerstin Tham,Karolinska Institute,Solna Municipality,Sweden
907,Sverker Johansson,Karolinska Institute,Solna Municipality,Sweden
908,Mai-Lis Hellénius,Karolinska Institute,Solna Municipality,Sweden
909,Claes-Göran Östenson,Karolinska Institute,Solna Municipality,Sweden
910,Bo Melin,Karolinska Institute,Solna Municipality,Sweden
911,Mikael Karlsson,Karolinska Institute,Solna Municipality,Sweden
912,Holger Lundbäck,Karolinska Institute,Solna Municipality,Sweden
913,Sara L Bengtsson,Karolinska Institute,Solna Municipality,Sweden
914,Lina M. Olsson,Karolinska Institute,Solna Municipality,Sweden
915,Karl Mörner,Karolinska Institute,Solna Municipality,Sweden
916,Edgar Mannheimer,Karolinska Institute,Solna Municipality,Sweden
917,Christian Lovén,Karolinska Institute,Solna Municipality,Sweden
918,Carl Albert Lindström,Karolinska Institute,Solna Municipality,Sweden
919,Frithiof Lennmalm,Karolinska Institute,Solna Municipality,Sweden
920,Urban Lendahl,Karolinska Institute,Solna Municipality,Sweden
921,Yngve A. A. Larsson,Karolinska Institute,Solna Municipality,Sweden
922,Carl-Henry Alström,Karolinska Institute,Solna Municipality,Sweden
923,Vladimer Darsalia,Karolinska Institute,Solna Municipality,Sweden
924,Hong Qian,Karolinska Institute,Solna Municipality,Sweden
925,Adolf Lichtenstein,Karolinska Institute,Solna Municipality,Sweden
926,Adolf Kjellberg,Karolinska Institute,Solna Municipality,Sweden
927,Christian Lovén,Karolinska Institute,Solna Municipality,Sweden
928,Johan Erik Johansson,Karolinska Institute,Solna Municipality,Sweden
929,Hildemar Hildebrand,Karolinska Institute,Solna Municipality,Sweden
930,Thomas Perlmann,Karolinska Institute,Solna Municipality,Sweden
931,Rolf Luft,Karolinska Institute,Solna Municipality,Sweden
932,Urban Lendahl,Karolinska Institute,Solna Municipality,Sweden
933,Gösta Forssell,Karolinska Institute,Solna Municipality,Sweden
934,Ulf Balldin,Karolinska Institute,Solna Municipality,Sweden
935,Karin Broberg,Karolinska Institute,Solna Municipality,Sweden
936,Johan Lundström,Karolinska Institute,Solna Municipality,Sweden
937,Katarina Lyberg,Karolinska Institute,Solna Municipality,Sweden
938,Ylva Lindqvist,Karolinska Institute,Solna Municipality,Sweden
939,Sven Cnattingius,Karolinska Institute,Solna Municipality,Sweden
940,Fredrik August Cederschiöld,Karolinska Institute,Solna Municipality,Sweden
941,Erik Gadelius,Karolinska Institute,Solna Municipality,Sweden
942,Curt Franksson,Karolinska Institute,Solna Municipality,Sweden
943,Lars Engstrand,Karolinska Institute,Solna Municipality,Sweden
944,Curt Wallis,Karolinska Institute,Solna Municipality,Sweden
945,Jonas Wærn,Karolinska Institute,Solna Municipality,Sweden
946,Lars Terenius,Karolinska Institute,Solna Municipality,Sweden
947,Magnus Möller,Karolinska Institute,Solna Municipality,Sweden
948,Gustaf Erik Pasch,Karolinska Institute,Solna Municipality,Sweden
949,Gustaf Retzius,Karolinska Institute,Solna Municipality,Sweden
950,Olof Swartz,Karolinska Institute,Solna Municipality,Sweden
951,Magnus Huss,Karolinska Institute,Solna Municipality,Sweden
952,Hans Rosling,Karolinska Institute,Solna Municipality,Sweden
953,Karl Oskar Medin,Karolinska Institute,Solna Municipality,Sweden
954,Rolf Maximilian Sievert,Karolinska Institute,Solna Municipality,Sweden
955,Rune Toftgård,Karolinska Institute,Solna Municipality,Sweden
956,Nils-Göran Larsson,Karolinska Institute,Solna Municipality,Sweden
957,Claes Gustafsson,Karolinska Institute,Solna Municipality,Sweden
958,Jan-Erik Edström,Karolinska Institute,Solna Municipality,Sweden
959,Göran K. Hansson,Karolinska Institute,Solna Municipality,Sweden
960,Sten Grillner,Karolinska Institute,Solna Municipality,Sweden
961,Jöns Jacob Berzelius,Karolinska Institute,Solna Municipality,Sweden
962,Elizabeth Amukugo,University of Namibia,Windhoek,Namibia
963,Theo Kanter,Stockholm University,Stockholm Municipality,Sweden
964,Gunnar von Heijne,Stockholm University,Stockholm Municipality,Sweden
965,Jan-Erling Bäckvall,Stockholm University,Stockholm Municipality,Sweden
966,Janis Bubenko,Stockholm University,Stockholm Municipality,Sweden
967,Astrid Gräslund,Stockholm University,Stockholm Municipality,Sweden
968,Georgia Destouni,Stockholm University,Stockholm Municipality,Sweden
969,Anders Martin-Löf,Stockholm University,Stockholm Municipality,Sweden
970,Jörgen Weibull,Stockholm University,Stockholm Municipality,Sweden
971,Lars E. O. Svensson,Stockholm University,Stockholm Municipality,Sweden
972,Joakim Kulin,Stockholm University,Stockholm Municipality,Sweden
973,Peter Hambäck,Stockholm University,Stockholm Municipality,Sweden
974,Erik Ivar Fredholm,Stockholm University,Stockholm Municipality,Sweden
975,Sven Å. Christianson,Stockholm University,Stockholm Municipality,Sweden
976,Robert Östling,Stockholm University,Stockholm Municipality,Sweden
977,Andrew Frampton,Stockholm University,Stockholm Municipality,Sweden
978,Heinz Leymann,Stockholm University,Stockholm Municipality,Sweden
979,Kjell Samuelson,Stockholm University,Stockholm Municipality,Sweden
980,Lars Wieslander,Stockholm University,Stockholm Municipality,Sweden
981,Denny Vågerö,Stockholm University,Stockholm Municipality,Sweden
982,Britt-Marie Sjöberg,Stockholm University,Stockholm Municipality,Sweden
983,Folke Fagerlind,Stockholm University,Stockholm Municipality,Sweden
984,Saeid Esmaeilzadeh,Stockholm University,Stockholm Municipality,Sweden
985,Hans Rådström,Stockholm University,Stockholm Municipality,Sweden
986,Hilding Eek,Stockholm University,Stockholm Municipality,Sweden
987,Wilhelm Carlgren,Stockholm University,Stockholm Municipality,Sweden
988,Gert Bonnier,Stockholm University,Stockholm Municipality,Sweden
989,Helge Bäckström,Stockholm University,Stockholm Municipality,Sweden
990,Hans G. Boman,Stockholm University,Stockholm Municipality,Sweden
991,Lennart Bengtsson,Stockholm University,Stockholm Municipality,Sweden
992,Gösta Bagge,Stockholm University,Stockholm Municipality,Sweden
993,Patrik Aspers,Stockholm University,Stockholm Municipality,Sweden
994,Karl-Olov Arnstberg,Stockholm University,Stockholm Municipality,Sweden
995,George Sangster,Stockholm University,Stockholm Municipality,Sweden
996,Barbro Åsman,Stockholm University,Stockholm Municipality,Sweden
997,Birgitta Tullberg,Stockholm University,Stockholm Municipality,Sweden
998,Christina Ramberg,Stockholm University,Stockholm Municipality,Sweden
999,Michele Micheletti,Stockholm University,Stockholm Municipality,Sweden
1000,Kerstin Lidén,Stockholm University,Stockholm Municipality,Sweden
1001,Karin Kock-Lindberg,Stockholm University,Stockholm Municipality,Sweden
1002,Karin Hansson,Stockholm University,Stockholm Municipality,Sweden
1003,Inga Fischer-Hjalmars,Stockholm University,Stockholm Municipality,Sweden
1004,Birgitta Fritz,Stockholm University,Stockholm Municipality,Sweden
1005,Anders Sjoberg,Stockholm University,Stockholm Municipality,Sweden
1006,Wilhelm Holmqvist,Stockholm University,Stockholm Municipality,Sweden
1007,Joakim Palme,Stockholm University,Stockholm Municipality,Sweden
1008,Andrej Kotljarchuk,Stockholm University,Stockholm Municipality,Sweden
1009,Ulf Grenander,Stockholm University,Stockholm Municipality,Sweden
1010,Torbjörn Lodén,Stockholm University,Stockholm Municipality,Sweden
1011,Carl Rudolf Florin,Stockholm University,Stockholm Municipality,Sweden
1012,Janis Bubenko,Stockholm University,Stockholm Municipality,Sweden
1013,Peter Brzezinski,Stockholm University,Stockholm Municipality,Sweden
1014,Staffan Nilsson,Stockholm University,Stockholm Municipality,Sweden
1015,Maria Wallenberg Bondesson,Stockholm University,Stockholm Municipality,Sweden
1016,Lars O. Hansson,Stockholm University,Stockholm Municipality,Sweden
1017,Lena Bartholdson,Stockholm University,Stockholm Municipality,Sweden
1018,Olof Olsson,Stockholm University,Stockholm Municipality,Sweden
1019,Michael Tjernström,Stockholm University,Stockholm Municipality,Sweden
1020,Hans Aili,Stockholm University,Stockholm Municipality,Sweden
1021,Svante Hedström,Stockholm University,Stockholm Municipality,Sweden
1022,Anders R Nilsson,Stockholm University,Stockholm Municipality,Sweden
1023,Anders Lansner,Stockholm University,Stockholm Municipality,Sweden
1024,Mikael Huss,Stockholm University,Stockholm Municipality,Sweden
1025,Lars Arvestad,Stockholm University,Stockholm Municipality,Sweden
1026,Kjell Samuelson,Stockholm University,Stockholm Municipality,Sweden
1027,Brūno Kalniņš,Stockholm University,Stockholm Municipality,Sweden
1028,Peter Perlmann,Stockholm University,Stockholm Municipality,Sweden
1029,Per Martin-Löf,Stockholm University,Stockholm Municipality,Sweden
1030,Theodor Kallifatides,Stockholm University,Stockholm Municipality,Sweden
1031,Tomas Riad,Stockholm University,Stockholm Municipality,Sweden
1032,Tiina Rosenberg,Stockholm University,Stockholm Municipality,Sweden
1033,Lars Bergström,Stockholm University,Stockholm Municipality,Sweden
1034,Gustav Cassel,Stockholm University,Stockholm Municipality,Sweden
1035,Richard Swedberg,Stockholm University,Stockholm Municipality,Sweden
1036,Humberto Fernández Morán,Stockholm University,Stockholm Municipality,Sweden
1037,Mattias Gardell,Stockholm University,Stockholm Municipality,Sweden
1038,Göran Malmqvist,Stockholm University,Stockholm Municipality,Sweden
1039,Einar Hille,Stockholm University,Stockholm Municipality,Sweden
1040,Assar Lindbeck,Stockholm University,Stockholm Municipality,Sweden
1041,Ulf Hannerz,Stockholm University,Stockholm Municipality,Sweden
1042,Lars E. O. Svensson,Stockholm University,Stockholm Municipality,Sweden
1043,Rubén Berríos,Stockholm University,Stockholm Municipality,Sweden
1044,Bert Bolin,Stockholm University,Stockholm Municipality,Sweden
1045,Yvonne Hirdman,Stockholm University,Stockholm Municipality,Sweden
1046,Germund Dahlquist,Stockholm University,Stockholm Municipality,Sweden
1047,Harald Cramér,Stockholm University,Stockholm Municipality,Sweden
1048,Björn von Sydow,Stockholm University,Stockholm Municipality,Sweden
1049,Fredrik Adam Smitt,Stockholm University,Stockholm Municipality,Sweden
1050,Peter Perlmann,Stockholm University,Stockholm Municipality,Sweden
1051,Erik Hulthén,Stockholm University,Stockholm Municipality,Sweden
1052,Erik Ivar Fredholm,Stockholm University,Stockholm Municipality,Sweden
1053,Viveca Sten,Stockholm University,Stockholm Municipality,Sweden
1054,Torsten Persson,Stockholm University,Stockholm Municipality,Sweden
1055,Helge von Koch,Stockholm University,Stockholm Municipality,Sweden
1056,Oskar Klein,Stockholm University,Stockholm Municipality,Sweden
1057,Sofia Kovalevskaya,Stockholm University,Stockholm Municipality,Sweden
1058,Erik Lundberg,Stockholm University,Stockholm Municipality,Sweden
1059,Gunnar Myrdal,Stockholm University,Stockholm Municipality,Sweden
1060,Svante August Arrhenius,Stockholm University,Stockholm Municipality,Sweden
1061,Heinz Leymann,Stockholm University,Stockholm Municipality,Sweden
1062,Walter Gordon,Stockholm University,Stockholm Municipality,Sweden
1063,Julia Uddén,Stockholm University,Stockholm Municipality,Sweden
1064,Niclas Jareborg,Stockholm University,Stockholm Municipality,Sweden
1065,Helge Gad,Stockholm University,Stockholm Municipality,Sweden
1066,Denny H Vågerö,Stockholm University,Stockholm Municipality,Sweden
1067,Kenneth Nelson,Stockholm University,Stockholm Municipality,Sweden
1068,Staffan Nilsson,Stockholm University,Stockholm Municipality,Sweden
1069,Wendell A. Mordy,Stockholm University,Stockholm Municipality,Sweden
1070,Sara Strandberg,Stockholm University,Stockholm Municipality,Sweden
1071,Robert Östling,Stockholm University,Stockholm Municipality,Sweden
1072,Mattias Edén,Stockholm University,Stockholm Municipality,Sweden
1073,Yves Zenou,Stockholm University,Stockholm Municipality,Sweden
1074,Lisa Deutsch,Stockholm University,Stockholm Municipality,Sweden
1075,Jaime De La Cruz Rodríguez,Stockholm University,Stockholm Municipality,Sweden
1076,Peter Järver,Stockholm University,Stockholm Municipality,Sweden
1077,Mohammed Saqr,Stockholm University,Stockholm Municipality,Sweden
1078,Angela Adamo,Stockholm University,Stockholm Municipality,Sweden
1079,Julia Uddén,Stockholm University,Stockholm Municipality,Sweden
1080,Daniel Lundin,Stockholm University,Stockholm Municipality,Sweden
1081,Helge Gad,Stockholm University,Stockholm Municipality,Sweden
1082,Ylva Sjöberg,Stockholm University,Stockholm Municipality,Sweden
