,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2661,Peter Högberg,Haninge Municipality,Sweden,Swedish University of Agricultural Sciences
2662,Leif Ljungholm,Falkenberg,Sweden,Lund University
2663,Torsten Hammarström,Hedvig Eleonora församling,Sweden,Uppsala University
2664,Adolf Fredrik Wimmercranz,Stockholm,Sweden,Uppsala University
2665,Hjalmar Zetterström,Domkyrkoförsamlingen in Göteborg,Sweden,Chalmers University of Technology
2666,Gustaf Bergström,Eskilstuna,Sweden,Uppsala University
2667,Nils von Hofsten,Uppsala Cathedral Assembly,Sweden,Uppsala University
2668,Samuel Älf,Kvillinge,Sweden,Uppsala University
2669,Sven Oscar Kullander,Sollefteå,Sweden,Umeå University
2670,Sven Oscar Kullander,Sollefteå,Sweden,Stockholm University
2671,Tobias Billström,Malmö,Sweden,Lund University
2672,Gunnar Olof Hyltén-Cavallius,Vislanda församling,Sweden,Uppsala University
2673,Gustaf Arrhenius,Stockholm,Sweden,Stockholm University
2674,Gustaf Nordenskiöld,Finnish church parish,Sweden,Stockholm University
2675,Rudolf Annerstedt,Tensta parish,Sweden,Uppsala University
2676,Tord Hall,Jönköping,Sweden,Uppsala University
2677,Ture Schaar,Gothenburg,Sweden,Royal Institute of Technology
2678,Ture Schaar,Gothenburg,Sweden,Chalmers University of Technology
2679,Juhana Cajanus,Paltamo,Finland,Uppsala University
2680,Peter Heszler,Miskolc,Hungary,Uppsala University
2681,Liesel Holler,Peru,Peru,Umeå University
2682,Magnus Beronius,Uppsala Cathedral Assembly,Sweden,Uppsala University
2683,Alfred Lagerheim,Copenhagen,Denmark,Uppsala University
2684,Olof Arenius,Bro församling,Sweden,Uppsala University
2685,Hannes Sköld,Västerlövsta församling,Sweden,University of Gothenburg
2686,Gustaf Unonius,Helsinki,Finland,Uppsala University
2687,Max Kidruk,Volodymyrets,Ukraine,Royal Institute of Technology
2688,Andrej Kotljarchuk,Novocherkassk,Russia,Stockholm University
2689,Richard Hobert,Kalmar,Sweden,Lund University
2690,Axel Lundegård,Eslövs församling,Sweden,Lund University
2691,Johan August Lundell,Kläckeberga församling,Sweden,Uppsala University
2692,Nils Wilhelm Lundequist,Åkers församling,Sweden,Uppsala University
2693,Adam Lundgren,Gothenburg,Sweden,Högskolan för scen och musik
2694,Bernhard Lundgren,Malmö,Sweden,Lund University
2695,Michael Lundholm,Uppsala,Sweden,Uppsala University
2696,Claës Lundin,Storkyrkoförsamlingen,Sweden,Uppsala University
2697,Carolus Lundius,Jönköping,Sweden,Uppsala University
2698,Stig Lundquist,Hällestads församling,Sweden,Royal Institute of Technology
2699,Gösta Lundqvist,Stockholm,Sweden,Stockholm University
2700,Axel N. Lundström,Piteå,Sweden,Uppsala University
2701,Ingemar Lundström,Skellefteå,Sweden,Chalmers University of Technology
2702,August Gyldenstolpe,Stockholm,Sweden,Uppsala University
2703,Samuel af Ugglas,Hedemora,Sweden,Uppsala University
2704,Zsuzsanna Jakab,Budapest,Hungary,University of Gothenburg
2705,Mortimer Agardh,Båstads parish,Sweden,Lund University
2706,Vladimir Admoni,Saint Petersburg,Russia,Uppsala University
2707,Georg Alanus,Jomala,Finland,Uppsala University
2708,Andrea Andreen,parish Örby-Skene,Sweden,Karolinska Institute
2709,Andrea Andreen,parish Örby-Skene,Sweden,Uppsala University
2710,Johan Arrhenius,Järeda församling,Sweden,Uppsala University
2711,Jordi Arkö,Stockholm,Sweden,Stockholm University
2712,Johan Christoffer Askelöf,Ingelstorps församling,Sweden,Lund University
2713,Matvey Afonin,Moscow,Russia,Uppsala University
2714,Lennart Bodström,Gothenburg,Sweden,Uppsala University
2715,Lars Johan Werle,Gävle,Sweden,Uppsala University
2716,Karolina Widerström,Helsingborgs Maria parish,Sweden,Uppsala University
2717,Stig Wikander,Norrtälje,Sweden,Uppsala University
2718,Erik Prosperin,Sweden,Sweden,Uppsala University
2719,Abir Al-Sahlani,Basra,Iraq,Mid Sweden University
2720,Gustaf Lindström,Visby parish,Sweden,Uppsala University
2721,Sten Heckscher,Stockholm,Sweden,Uppsala University
2722,Magnus Julius De la Gardie,Stockholm,Sweden,Uppsala University
2723,Emil Hildebrand,Maria Magdalena parish,Sweden,Uppsala University
2724,Ebbe Hertzberg,Holmestrand,Norway,Uppsala University
2725,Svante Janson,Uppsala Cathedral Assembly,Sweden,Uppsala University
2726,Alexander von Karamyschew,Siberia Governorate,Russian Empire,Uppsala University
2727,Alexander von Karamyschew,Siberia Governorate,Tsardom of Russia,Uppsala University
2728,Gustaf Edvard Klemming,Klara Parish,Sweden,Uppsala University
2729,Abraham Peter Cronholm,Landskrona Parish,Sweden,Lund University
2730,Doris Löve,Kristianstad,Sweden,Lund University
2731,Mikael Ljungman,Östermalm,Sweden,Stockholm University
2732,Erik Carl Oxenstierna af Korsholm och Wasa,Stockholm,Sweden,Uppsala University
2733,Grégoire Orlyk,Baturyn,Ukraine,Lund University
2734,Frederik Paulsen junior,Stockholm,Sweden,Lund University
2735,Gösta Knutsson,Klara Parish,Sweden,Uppsala University
2736,Bengt Lidforss,Lunds Cathedral Assembly,Sweden,Lund University
2737,Bernhard von Beskow,Stockholm City,Sweden,Uppsala University
2738,Stig Ossian Ericson,Härnösand,Sweden,Uppsala University
2739,Carl Johann Hartman,Gävle Heliga Trefaldighets,Sweden,Uppsala University
2740,Hugo Hammar,Räpplinge församling,Sweden,Chalmers University of Technology
2741,Karl Gustaf Westman,Göteborgs Kristine församling,Sweden,Uppsala University
2742,Lars Johan Hierta,Uppsala Cathedral Assembly,Sweden,Uppsala University
2743,Tuve Skånberg,Gothenburg,Sweden,Lund University
2744,Israel Acrelius,Österåkers församling,Sweden,Uppsala University
2745,Per Landgren,Mariestad,Sweden,University of Gothenburg
2746,Joakim Palme,Stockholm,Sweden,Stockholm University
2747,Birgitta Dahl,Gothenburg and Bohus County,Sweden,Uppsala University
2748,Tord Palander,Stockholm,Sweden,Royal Institute of Technology
2749,Tord Palander,Stockholm,Sweden,Stockholm University
2750,Albert Ehrensvärd the Younger,Göteborg City,Sweden,Lund University
2751,Bo Reicke,Stockholm,Sweden,Stockholm University
2752,Bo Reicke,Stockholm,Sweden,Uppsala University
2753,Nils Philip Gyldenstolpe,Österåkers församling,Sweden,Uppsala University
2754,Emil Oskar Nobel,Saint Petersburg,Russia,Uppsala University
2755,Lennart Samuelson,Eskilstuna,Sweden,Stockholm University
2756,Jöns Svanberg,Nederkalix församling,Sweden,Uppsala University
2757,Lars Fredrik Svanberg,Adolf Fredriks parish,Sweden,Uppsala University
2758,Wilhelm Gabriel Lagus,Iisalmi,Finland,Uppsala University
2759,Anders Magnus Strinnholm,Umeå landsförsamling,Sweden,Uppsala University
2760,Samvel Farmanyan,Spandaryan,Armenia,Lund University
2761,Olav Hammer,Gangkofen,Germany,Lund University
2762,Wilhelm Holmqvist,Ljusdal,Sweden,Stockholm University
2763,Sigmund Løvåsen,Trysil,Norway,University of Gothenburg
2764,Tasneem Zehra Husain,Lahore,Pakistan,Stockholm University
2765,Claes Nilsson Stiernsköld,Hällekis,Sweden,Uppsala University
2766,Anders Sjoberg,Ovansjö församling,Sweden,Stockholm University
2767,Claes Ekeblad the Elder,Strö,Sweden,Uppsala University
2768,Klas Eklund,Uppsala,Sweden,Stockholm University
2769,Schamyl Bauman,Vimmerby,Sweden,Uppsala University
2770,Ola Larsmo,Sundbyberg parish,Sweden,Uppsala University
2771,Nils Silfverskiöld,Gothenburg,Sweden,Uppsala University
2772,Marcus Wallenberg,Stockholm,Sweden,Uppsala University
2773,Mathias Rosenblad,Ekerö,Sweden,Lund University
2774,Per Beskow,Stockholm,Sweden,Uppsala University
2775,Gustav Levin,Sigtuna,Sweden,University of Gothenburg
2776,Ivar Vennerström,Brunskogs socken,Sweden,Uppsala University
2777,Per Nyström,Västerlanda församling,Sweden,Lund University
2778,Kenneth Hugdahl,Östersund,Sweden,Uppsala University
2779,Olav Gjærevoll,Alvdal,Norway,Uppsala University
2780,Anders Frostenson,Loshults församling,Sweden,Lund University
2781,Adolf Hedin,Bo socken,Sweden,Uppsala University
2782,Arvid Richert,Domkyrkoförsamlingen in Göteborg,Sweden,Uppsala University
2783,Erik Ullenhag,Uppsala,Sweden,Uppsala University
2784,Aant Elzinga,Bolsward,Netherlands,University of Gothenburg
2785,Adam Dunkels,Örnäset parish,Sweden,Luleå University of Technology
2786,Adolf H. Lundin,Stockholm,Sweden,Royal Institute of Technology
2787,Agi Lindegren,Hudiksvalls församling,Sweden,Royal Institute of Technology
2788,Agneta Marell,Gothenburg,Sweden,Umeå University
2789,Alexander Ljungqvist,Hamburg,Germany,Lund University
2790,Ali Abkar,Lahijan,Iran,Lund University
2791,Ali Sadeghian,Tehran,Iran,Örebro University
2792,Alice Bah Kuhnke,Malmö,Sweden,Stockholm University
2793,Allan Larsson,Bredaryd,Sweden,Stockholm University
2794,Allan Larsson,Bredaryd,Sweden,Lund University
2795,Allan Vougt,Stockholm,Sweden,Uppsala University
2796,Anders Flanking,Skövde,Sweden,University of Gothenburg
2797,Anders Fredrik Regnell,Stockholm,Sweden,Uppsala University
2798,Anders Jansson,Staffanstorp,Sweden,Lund University
2799,Anders Söderholm,Morjärv,Sweden,Umeå University
2800,Anders Winroth,Ludvika,Sweden,Stockholm University
2801,Andreas Norlén,Bromma city district,Sweden,Linköping University
2802,Mostafa Ronaghi,United States of America,United States of America,Royal Institute of Technology
2803,Kazunori Yamanoi,Kyoto,Japan,Lund University
2804,Per Rudling,Karlstad,Sweden,Uppsala University
2805,Ilkka Aspara,Helsinki,Finland,National Defence University
2806,Jaakko Oksanen,Längelmäki,Finland,National Defence University
2807,Jari Niemelä,Vaasa,Finland,Umeå University
2808,John Settergren,Lidköping,Sweden,Royal Institute of Technology
2809,Nicolaus Nycopensis,Nyköping,Sweden,Uppsala University
2810,Ulla Ehrensvärd,Engelbrekt,Sweden,Stockholm University
2811,Astri Kleppe,Solna Municipality,Sweden,Lund University
2812,Charles Bruff,Oslo,Norway,Chalmers University of Technology
2813,Christian Fredrik Arbo,Drammen,Norway,Royal Institute of Technology
2814,Christian Fredrik Arbo,Gulskogen,Norway,Royal Institute of Technology
2815,Jana Witthedová,Zlín,Czech Republic,Lund University
2816,Per-Arne Bodin,Boteå församling,Sweden,Stockholm University
2817,Bjarne Bender Mortensen,Copenhagen,Denmark,Örebro University
2818,Bjarne Bender Mortensen,Copenhagen,Denmark,Stockholm University
2819,Cynthia M. Grund,New Haven,United States of America,Uppsala University
2820,Kuno Thomasson,Tallinn,Estonia,Uppsala University
2821,Efraim Davidi,La Plata,Argentina,University of Gothenburg
2822,Siri M. Kvamme,Stanghelle,Norway,University of Gothenburg
2823,Klas August Linderfelt,Sweden,Sweden,Uppsala University
2824,Q13175744,Dicle,Turkey,Stockholm University
2825,Lena Struwe,New Jersey,United States of America,Stockholm University
2826,Arne Strid,Kristianstad,Sweden,Lund University
2827,Kenneth Jonsson,Filipstad,Sweden,Lund University
2828,PewDiePie,Gothenburg,Sweden,Chalmers University of Technology
2829,Velta Ruke-Dravina,Valmiera,Latvia,Stockholm University
2830,Ragnar Pihlstrand,Lund,Sweden,Lund University
2831,Annika Norlin,Östersund,Sweden,Umeå University
2832,Julius Borcea,Bacău,Romania,Lund University
2833,Olof Hanner,Stockholm,Sweden,Stockholm University
2834,Carl Lagercrantz,Domkyrkoförsamlingen in Göteborg,Sweden,Uppsala University
2835,Petter Öström,Stockholm,Sweden,Stockholm University
2836,Hildegard Björck,Bro församling,Sweden,Lund University
2837,Hildegard Björck,Bro församling,Sweden,Uppsala University
2838,Sada Mire,Hargeisa,Somalia,Lund University
2839,Sada Mire,Hargeisa,Somaliland,Lund University
2840,Åke Åkerström,Örebro,Sweden,Uppsala University
2841,Hans Bernhard Ludwig Lembke,Greifswald,Germany,Lund University
2842,Martin Lundstedt,Mariestad,Sweden,Chalmers University of Technology
2843,Katarina Bivald,Stockholm,Sweden,Stockholm University
2844,Gustaf Nordlund,Liverpool,United Kingdom,Uppsala University
2845,Alma Sundquist,"Torps församling, Härnösand diocese",Sweden,Karolinska Institute
2846,Alma Sundquist,"Torps församling, Härnösand diocese",Sweden,Uppsala University
2847,Jasmin Staiblin,Endingen am Kaiserstuhl,Germany,Royal Institute of Technology
2848,Gerda Uddgren,Katarina parish,Sweden,Karolinska Institute
2849,Gertrud Gussander,Torsåkers församling,Sweden,Uppsala University
2850,Carlos Nyströmer,Visby,Sweden,Royal Institute of Technology
2851,Lennart Kjellberg,Valbo församling,Sweden,Uppsala University
2852,Hillevi Callander,Södertälje,Sweden,Royal Institute of Technology
2853,Bengt Oxenstierna,Stockholm,Sweden,Uppsala University
2854,Greg Poehler,Boston,United States of America,Stockholm University
2855,Ted Wachtmeister,Nyköping,Sweden,Uppsala University
2856,Olle Lagergren,Skara,Sweden,Royal Institute of Technology
2857,Hjalmar Cornilsen,Gothenburg,Sweden,Chalmers University of Technology
2858,Ulf Snellman,Stockholm,Sweden,Royal Institute of Technology
2859,Klas Tham,Stockholm,Sweden,Royal Institute of Technology
2860,Karl Gunnar Persson,Borås,Sweden,Lund University
2861,Jamie Foster Brown,Chicago,United States of America,Stockholm University
2862,Gufran Al-Nadaf,Bucharest,Romania,Stockholm University
2863,Sten Aminoff,Uddevalla,Sweden,Stockholm University
2864,Andreas Johannis Arosandrinus,Västerås,Sweden,Uppsala University
2865,Johannes Aurelius,Istorps socken,Sweden,Uppsala University
2866,Per Olof Berg,Strängnäs,Sweden,Lund University
2867,Lars-Olof Brilioth,Uppsala,Sweden,Lund University
2868,Göran Bundy,Malmö,Sweden,Lund University
2869,Carl Nordenfalk,Hedvig Eleonora församling,Sweden,Uppsala University
2870,Tedros Adhanom Ghebreyesus,Asmara,Eritrea,Umeå University
2871,Ingrid Detter de Frankopan,Stockholm,Sweden,Stockholm University
2872,Joakim Zander,Stockholm,Sweden,Uppsala University
2873,Ashkan Pouya,Iran,Iran,Uppsala University
2874,Timo Kivinen,Lappeenranta,Finland,National Defence University
2875,Ingeborg Wærn Bugge,Oslo,Norway,Royal Institute of Technology
2876,Sven Dimborg,Dimbo,Sweden,Uppsala University
2877,Adolf Lichtenstein,Stockholm,Sweden,Uppsala University
2878,Christer Henrik d'Albedyhll,Riga,Latvia,Uppsala University
2879,Alice Teodorescu,Bucharest,Romania,Lund University
2880,Carl Fredric Aschling,Stockholm,Sweden,Uppsala University
2881,Yngve Bjerström,Eksjö parish',Sweden,Uppsala University
2882,Bertil Matérn,Gothenburg,Sweden,Stockholm University
2883,Katia Elliott,Santiago,Chile,Stockholm University
2884,Katia Elliott,Santiago,Chile,Karolinska Institute
2885,Viveka Hagnell,Linköping,Sweden,Lund University
2886,Mai-Lis Hellénius,"Torps församling, Härnösand diocese",Sweden,Karolinska Institute
2887,Stina Honkamaa,Boden,Sweden,Luleå University of Technology
2888,Dora Jacobsohn,Berlin,Germany,Lund University
2889,Gunilla Kinn,Örebro,Sweden,Stockholm University
2890,Arba Kokalari,Tirana,Albania,Stockholm University
2891,Birgit Krantz,Gothenburg,Sweden,Chalmers University of Technology
2892,Bianca Kronlöf,Nynäshamn,Sweden,University of Gothenburg
2893,Carola Lemne,Lund,Sweden,Karolinska Institute
2894,Soraya Post,Gothenburg,Sweden,University of Gothenburg
2895,Bonnie Roupé,Stockholm,Sweden,Stockholm University
2896,Katarina Gospic,Kista,Sweden,Karolinska Institute
2897,Madeleine Olsson Eriksson,Oscar Fredriks församling,Sweden,Karolinska Institute
2898,Madeleine Olsson Eriksson,Oscar Fredriks församling,Sweden,Lund University
2899,Kristina Winberg,Mörrum,Sweden,Stockholm University
2900,Thomas Engevall,Malmö,Sweden,Chalmers University of Technology
2901,Gunnar Holmgren,Vännäs,Sweden,Stockholm University
2902,Ardalan Shekarabi,Manchester,United Kingdom,Uppsala University
2903,Hedda Andersson,Malmö,Sweden,Lund University
2904,Arne Bjerhammar,Båstad,Sweden,Royal Institute of Technology
2905,Arne Broman,Sweden,Sweden,Uppsala University
2906,Astrid Cleve,Uppsala Cathedral Assembly,Sweden,Uppsala University
2907,Axel Fredrik Enström,Jakob and Johanne parish,Sweden,Royal Institute of Technology
2908,Axel Hamberg,Klara Parish,Sweden,Uppsala University
2909,Axel Welin,Stockholm,Sweden,Royal Institute of Technology
2910,Axel Örbom,Sweden,Sweden,Uppsala University
2911,Gustaf Lilliecrona,Kiholms gård,Sweden,Uppsala University
2912,Barbro Sachs-Osher,Stockholm,Sweden,Stockholm University
2913,Bengt Holgersson,Älghult,Sweden,Lund University
2914,Bengt Madsen,Malmö,Sweden,Lund University
2915,Bengt Nordén,Lund,Sweden,Lund University
2916,Bergur Sigurbjörnsson,Iceland,Iceland,Stockholm University
2917,Berit Andnor,Gothenburg,Sweden,Mid Sweden University
2918,Berta Jereb,Črneče,Slovenia,Karolinska Institute
2919,Bertil Nordenstam,Nyköping,Sweden,Lund University
2920,Betty Pettersson,Visby parish,Sweden,Uppsala University
2921,Billy Klüver,Monaco,Monaco,Royal Institute of Technology
2922,Birger Hjørland,Nærum,Denmark,University of Gothenburg
2923,Birgitta Fritz,Stockholm,Sweden,Stockholm University
2924,Björn E. Lindblom,Stockholm,Sweden,Stockholm University
2925,Björn E. Lindblom,Stockholm,Sweden,Lund University
2926,Björn E. Lindblom,Stockholm,Sweden,Uppsala University
2927,Björn Hamilton,Gothenburg,Sweden,Lund University
2928,Björn Söder,Väsby parish,Sweden,Lund University
2929,Bo Andersson,Falkenberg,Sweden,Stockholm University
2930,Maria Abrahamsson,Kalmar,Sweden,Stockholm University
2931,Lena Ag,S:t Görans församling,Sweden,Stockholm University
2932,Mana Aghaee,Bushehr,Iran,Uppsala University
2933,Minoo Akhtarzand,Tehran,Iran,Royal Institute of Technology
2934,Eva Alexanderson,Stockholm,Sweden,Lund University
2935,Gunila Ambjörnsson,Kalmar,Sweden,University of Gothenburg
2936,Eva Andén,Uppsala Cathedral Assembly,Sweden,Uppsala University
2937,Agneta Andersson,Kiruna,Sweden,Umeå University
2938,Agneta Andersson,Kiruna,Sweden,Luleå University of Technology
2939,Agneta Andersson,Kiruna,Sweden,University of Gothenburg
2940,Eva Andersson,Uddevalla,Sweden,Karolinska Institute
2941,Lena Andersson,Stockholm,Sweden,Stockholm University
2942,Marianne Andersson,Vårgårda,Sweden,University of Gothenburg
2943,Kerstin André,Gothenburg,Sweden,Stockholm University
2944,Kerstin Anér,Adolf Fredriks parish,Sweden,University of Gothenburg
2945,Greta Arwidsson,Uppsala Cathedral Assembly,Sweden,Uppsala University
2946,Inger Ashing,Alton,United Kingdom,Lund University
2947,Linnéa Axelsson,Porjus,Sweden,Umeå University
2948,Carin Bartosch Edström,Malmö,Sweden,Lund University
2949,Jenny Berthelius,Jakob,Sweden,Lund University
2950,Gunnel Biberfeld,Gamlestads church parish,Sweden,Karolinska Institute
2951,Nina Björk,Offerdal,Sweden,University of Gothenburg
2952,Frida Boisen,Härnösand,Sweden,University of Gothenburg
2953,Hilma Borelius,Lunds Cathedral Assembly,Sweden,Lund University
2954,Olga Botner,Warsaw,Poland,Uppsala University
2955,Anna Branzell,Bergen,Norway,Royal Institute of Technology
2956,Anna Branzell,Mandal,Norway,Royal Institute of Technology
2957,Cecilia Brinck,Sweden,Sweden,Stockholm University
2958,Cecilia Brinck,Sweden,Sweden,Lund University
2959,Gudrun Brunegård,Amnehärads socken,Sweden,Lund University
2960,Ebba Busch Thor,Uppsala,Sweden,Uppsala University
2961,Zaida Catalán,Stockholm,Sweden,Stockholm University
2962,Bodil Valero,Jönköping,Sweden,Uppsala University
2963,Anna Christensen,Engelbrekt,Sweden,Stockholm University
2964,Olga Dahl,Malmö,Sweden,Lund University
2965,Marie-Louise Danielsson-Tham,Mariestad,Sweden,Swedish University of Agricultural Sciences
2966,Sara Danius,Täby,Sweden,Uppsala University
2967,Elisabeth Djurle,Jönköping,Sweden,Lund University
2968,Elza Dunkels,Umeå,Sweden,Umeå University
2969,Helena Dyrssen,Uppsala,Sweden,Stockholm University
2970,Gudrun Eduards,Gothenburg,Sweden,University of Gothenburg
2971,Sanna Ehdin Anandala,Burlövs parish,Sweden,Lund University
2972,Asta Ekenvall,Anundsjö parish,Sweden,Uppsala University
2973,Karolina Ekholm,Täby,Sweden,Lund University
2974,Karolina Ekholm,Täby,Sweden,Uppsala University
2975,Anne-Marie Eklund Löwinder,Stockholm,Sweden,Stockholm University
2976,Anna Ekström,Sweden,Sweden,Stockholm University
2977,Louise Epstein,Malmö,Sweden,Lund University
2978,Lillemor Erlander,Bromma parish,Sweden,Uppsala University
2979,Maria Ernestam,Uppsala,Sweden,Uppsala University
2980,Maria Ernestam,Uppsala,Sweden,University of Gothenburg
2981,Elsa Eschelsson,Norrköping,Sweden,Uppsala University
2982,Fang Fang Kullander,Beijing,People's Republic of China,Stockholm University
2983,Inga Fischer-Hjalmars,Adolf Fredriks parish,Sweden,Stockholm University
2984,Emilia Fogelklou,Simrishamn,Sweden,Uppsala University
2985,Pam Fredman,Gothenburg,Sweden,Chalmers University of Technology
2986,Maria Friberg,Malmö,Sweden,University of Gothenburg
2987,Hédi Fried,Sighetu Marmației,Romania,Stockholm University
2988,Ellen Fries,Törnsfalls community,Sweden,Uppsala University
2989,Lena Fries-Gedin,Örebro,Sweden,Uppsala University
2990,Agnes Geijer,Uppsala Cathedral Assembly,Sweden,Uppsala University
2991,Carin Gerhardsen,Katrineholm,Sweden,Uppsala University
2992,Eva Gothlin,Norrköping,Sweden,University of Gothenburg
2993,Ingegerd Granlund,Stockholm,Sweden,Uppsala University
2994,Berit Gullberg,Falun,Sweden,Stockholm University
2995,Madeleine Gustafsson,Gothenburg,Sweden,Uppsala University
2996,Margit Hall,Saint Petersburg,Russia,Chalmers University of Technology
2997,Pia Hallström,Karlstad,Sweden,Karlstad University
2998,Eva Hamilton,Kungsholms parish,Sweden,Uppsala University
2999,Ulla Hamilton,Falköping,Sweden,Uppsala University
3000,Ingrid Hammarström,Härnösand,Sweden,Uppsala University
3001,Maria Hamrefors,Gothenburg,Sweden,University of Gothenburg
3002,Ana Betancour,Montevideo,Uruguay,Royal Institute of Technology
3003,Daniel Mühlbach,Stockholm,Sweden,Luleå University of Technology
3004,Harald Markson,Uppsala,Sweden,Royal Institute of Technology
3005,Mahmut Baran,Kuşça,Turkey,Stockholm University
3006,Valter Axelsson,Sweden,Sweden,Uppsala University
3007,Martha Muusses,Purmerend,Netherlands,Uppsala University
3008,Ken Rizer,Minneapolis,United States of America,Stockholm University
3009,Bengt Fahlström,Vänersborg,Sweden,Royal Institute of Technology
3010,Axel Eriksson,Omaruru,Namibia,Chalmers University of Technology
3011,Zhang Xu,Nanjing,People's Republic of China,Karolinska Institute
3012,Britta Lundgren,Malå församling,Sweden,Umeå University
3013,Darja Isaksson,Falun,Sweden,Umeå University
3014,Karl-Gustaf Pehrson,Örebro Olaus Petri parish,Sweden,Lund University
3015,Ervin Kohn,Hungary,Hungary,Lund University
3016,Leo Saressalo,Virolahti,Finland,National Defence University
3017,Kajsa Hallberg Adu,Umeå,Sweden,Uppsala University
3018,Marta E Alarcón-Riquelme,Rochester,United States of America,Stockholm University
3019,Marta E Alarcón-Riquelme,Rochester,United States of America,Uppsala University
3020,Ibrahim Hamis Juma,Musoma,Tanzania,Lund University
3021,Kaisa Juuso,Alatornio,Finland,Stockholm University
3022,Johan Torgeby,Scania,Sweden,Lund University
3023,Pernilla Wittung-Stafshede,Umeå,Sweden,Chalmers University of Technology
3024,Yihai Cao,Jinan,People's Republic of China,Karolinska Institute
3025,Kaveh Madani,Tehran,Iran,Lund University
3026,Curt Rosell,Habo,Sweden,Stockholm University
3027,Victoria Kawesa,Kampala,Uganda,Linköping University
3028,Sven Rosman,Visby,Sweden,Royal Institute of Technology
3029,Carl Rothlin,Haga parish,Sweden,Stockholm University
3030,Hugo Ruuth,Rutvik,Sweden,Royal Institute of Technology
3031,Fritz Hjelte,Pjätteryd,Sweden,Royal Institute of Technology
3032,Arvid Cronenberg,Bjursås parish,Sweden,Stockholm University
3033,Jan-Olov Arman,Östersunds församling,Sweden,Royal Institute of Technology
3034,Nils Gyldén,Oscars Assembly,Sweden,Royal Institute of Technology
3035,Sven Rahmberg,Danderyd  parish,Sweden,Royal Institute of Technology
3036,Ingrid Swartling,Karlshamn,Sweden,Stockholm University
3037,Paavo Kiljunen,Rantasalmi,Finland,National Defence University
3038,Charles Strömblad,Helsingborgs Maria parish,Sweden,Lund University
3039,Pehr Eric Sköldebrand,"Sörby, Torsåker",Sweden,Uppsala University
3040,Ingemar Olsson,Annedals parish,Sweden,Chalmers University of Technology
3041,Ingemar Olsson,Annedals parish,Sweden,Uppsala University
3042,Sigurd Bergmann,Hanover,Germany,Lund University
3043,Sigurd Bergmann,Hanover,Germany,Uppsala University
3044,Håkan Lindqvist,Gothenburg,Sweden,Chalmers University of Technology
3045,Bengt Bengtsson,Engelbrekt,Sweden,Uppsala University
3046,Anders Edblad,Sundsvall,Sweden,Royal Institute of Technology
3047,John Wahlberg,Malmö,Sweden,Chalmers University of Technology
3048,Gunnar Blomqvist,Norrköping,Sweden,Royal Institute of Technology
3049,Margherita Giordano Lokrantz,Stockholm,Sweden,Stockholm University
3050,Andreas Emil Oldeberg,Läby församling,Sweden,Stockholm University
3051,Benkt Ulvfot,Nyköping,Sweden,Chalmers University of Technology
3052,Svenny Kopp,Gothenburg,Sweden,University of Gothenburg
3053,Karl Henrik Johansson,Växjö,Sweden,Lund University
3054,Maarja Nuut,Rakvere,Estonia,Stockholm University
3055,Jan Olov Olsson,Umeå pastorat,Sweden,Uppsala University
3056,Lennart Hirschfeldt,Engelbrekt,Sweden,Uppsala University
3057,Anders Nilsson,Borgeby församling,Sweden,Chalmers University of Technology
3058,Eric Hallgren,Nyköping,Sweden,Uppsala University
3059,Ove Steinvall,Bureå parish,Sweden,Chalmers University of Technology
3060,Ove Steinvall,Bureå parish,Sweden,Uppsala University
3061,Hans Nygren,Halmstad,Sweden,Chalmers University of Technology
3062,Samuli Ripatti,Helsinki,Finland,Stockholm University
3063,Alexandra Anstrell,Jämtland County,Sweden,Uppsala University
3064,Karl-Vilhelm Wöhler,Alingsås,Sweden,Uppsala University
3065,Andreas Hatzigeorgiou,Uppsala,Sweden,Stockholm University
3066,Andreas Hatzigeorgiou,Uppsala,Sweden,Lund University
3067,Gunnar Herrmann,Siegen,Germany,Lund University
3068,Julius Möller,Malmö,Sweden,Lund University
3069,Ingemar Carlsson,Övertorneå församling,Sweden,Royal Institute of Technology
3070,Ingemar Carlsson,Övertorneå församling,Sweden,Stockholm University
3071,Daniel Friberg,Gothenburg,Sweden,University of Gothenburg
3072,Lennart Green,Stockholm,Sweden,Royal Institute of Technology
3073,Dmitry Feichtner-Kozlov,Tomsk,Russia,Royal Institute of Technology
3074,Mette Ingvartsen,Aarhus,Denmark,Lund University
3075,Stig Ödeen,Helsingborg,Sweden,Royal Institute of Technology
3076,Herman Norgren,Hofors bruk,Sweden,Royal Institute of Technology
3077,Hans Jørgen Lysglimt Johansen,Fredrikstad,Norway,Lund University
3078,Knut Lindberg,Stockholm,Sweden,Uppsala University
3079,Gunnar Christianson,Kungsholms parish,Sweden,Stockholm University
3080,Bo-Gustaf Westberg-Gren,Örnsköldsvik,Sweden,Stockholm University
3081,David Aronowitsch,Stockholm,Sweden,Stockholm University
3082,Q30346365,Gulbene,Latvia,Uppsala University
3083,Michael Granit,Helsinki,Finland,Royal Institute of Technology
3084,Erik Törngren,Stockholm City,Sweden,Royal Institute of Technology
3085,Carl Mannerfelt,Borås,Sweden,Uppsala University
3086,Lars Kallings,Danderyd,Sweden,Karolinska Institute
3087,Q30960803,Guatemala City,Guatemala,Lund University
3088,Kåre Grytli,Øre,Norway,University of Gothenburg
