,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2312,Nils Lorens Rahmström,Säbrå,Sweden,Uppsala University
2313,Axel Arvid Raab,Djurgården,Sweden,Uppsala University
2314,Joachim Ehrenpreus,Stockholm City,Sweden,Uppsala University
2315,Johan Ehrenpreus,Stockholm City,Sweden,Uppsala University
2316,Gabriel Boding,Stockholm,Sweden,Uppsala University
2317,Erik Arosenius,Göteborgs Kristine församling,Sweden,Chalmers University of Technology
2318,Christel Tholse Willers,Malmö,Sweden,Lund University
2319,Bo Gyllensvärd,Torskinge,Sweden,Stockholm University
2320,María Urquhart,Trinidad,Uruguay,Stockholm University
2321,Birger Larsson,Älmhult,Sweden,Royal Institute of Technology
2322,William Forssell,Storkyrkoförsamlingen,Sweden,Karolinska Institute
2323,Otto Hellberg,Stockholm,Sweden,Uppsala University
2324,Frans Evers,Eslöv,Sweden,Chalmers University of Technology
2325,Mats Wahlstrom,Stockholm,Sweden,University of Gothenburg
2326,Bo Furugren,Ludvika,Sweden,Swedish University of Agricultural Sciences
2327,Bo Furugren,Ludvika,Sweden,Uppsala University
2328,Hans Adolfsson,Ludvika,Sweden,Royal Institute of Technology
2329,Hans Adolfsson,Ludvika,Sweden,Stockholm University
2330,Olander Gröffel,Höör,Sweden,Royal Institute of Technology
2331,Hans Fog,Stockholm,Sweden,Royal Institute of Technology
2332,Hans Lunell,Skellefteå,Sweden,Uppsala University
2333,Albin Zetterberg,Tyresö församling,Sweden,Royal Institute of Technology
2334,Assumpta Nnaggenda-Musana,Kampala,Uganda,Royal Institute of Technology
2335,Ilkka Hollo,Tampere,Finland,National Defence University
2336,Kyrre Thalberg,Oslo,Norway,Lund University
2337,Göran Erro,Gothenburg,Sweden,Chalmers University of Technology
2338,Jonas Nordin,Sweden,Sweden,Stockholm University
2339,Åke Seberg,Landskrona,Sweden,Royal Institute of Technology
2340,Arne Björner,Skellefteå,Sweden,Royal Institute of Technology
2341,Anders Dalborg,Dunkers parish,Sweden,Royal Institute of Technology
2342,Kjell Kjellberg,Ekerö parish,Sweden,Royal Institute of Technology
2343,Oskar Grahnén,Vindelns församling,Sweden,Royal Institute of Technology
2344,Egor Babaev,Saint Petersburg,Russia,Uppsala University
2345,Manne Hofling,Brunflo församling,Sweden,Uppsala University
2346,Åke Nettelbladt,Söderhamn,Sweden,Royal Institute of Technology
2347,Lennart Iverus,Skara,Sweden,Stockholm University
2348,Frederik Bjurström,Denmark,Kingdom of Denmark,Royal Institute of Technology
